index,feature,ground_truth,predicted
129,age,-1,1
206,age,1,1
267,age,-1,-1
312,age,-1,1
393,age,-1,1
414,age,-1,1
417,age,-1,1
462,age,-1,-1
465,age,-1,1
492,age,-1,1
507,age,-1,1
522,age,-1,1
561,age,-1,1
621,age,-1,-1
633,age,-1,1
726,age,-1,1
768,age,-1,-1
810,age,-1,1
825,age,-1,1
927,age,-1,1
981,age,-1,1
993,age,-1,1
999,age,-1,1
1029,age,-1,1
1050,age,-1,-1
1056,age,-1,1
1064,age,1,1
1077,age,-1,1
1086,age,-1,1
1101,age,-1,1
1103,age,-1,1
1119,age,-1,1
1134,age,-1,1
1293,age,-1,1
1317,age,-1,1
1368,age,-1,1
1388,age,1,1
1437,age,-1,1
1443,age,-1,-1
1464,age,-1,-1
1485,age,-1,-1
1500,age,-1,-1
1584,age,-1,-1
1619,age,-1,-1
1671,age,-1,-1
1761,age,-1,-1
1797,age,-1,-1
1820,age,-1,-1
1866,age,-1,-1
1938,age,-1,-1
1941,age,-1,-1
1971,age,-1,-1
1983,age,-1,-1
1995,age,-1,-1
2088,age,-1,-1
2229,age,-1,-1
2289,age,-1,-1
2292,age,-1,1
2304,age,-1,-1
2343,age,-1,-1
2367,age,-1,-1
2376,age,-1,-1
2382,age,-1,-1
2514,age,-1,-1
2574,age,-1,-1
2595,age,-1,-1
2673,age,-1,-1
2688,age,-1,-1
2733,age,-1,-1
2781,age,-1,-1
2945,age,-1,-1
2955,age,-1,-1
2976,age,-1,-1
3081,age,-1,-1
3204,age,-1,-1
3216,age,-1,-1
3267,age,-1,-1
3273,age,-1,1
3291,age,-1,1
3304,age,1,1
3366,age,-1,-1
3405,age,-1,-1
3426,age,-1,-1
3477,age,-1,-1
3486,age,-1,-1
3519,age,-1,-1
3531,age,-1,-1
3600,age,-1,-1
3630,age,-1,-1
3681,age,-1,-1
3708,age,-1,-1
3738,age,-1,-1
3744,age,-1,-1
3753,age,-1,-1
3849,age,-1,-1
3936,age,-1,-1
3951,age,-1,-1
4011,age,-1,-1
4014,age,-1,-1
4053,age,-1,-1
4089,age,-1,-1
4095,age,-1,-1
4113,age,-1,-1
4131,age,-1,-1
4154,age,1,1
4203,age,-1,-1
4227,age,-1,-1
4323,age,-1,-1
4343,age,-1,-1
4407,age,-1,-1
4500,age,-1,-1
4515,age,-1,-1
4563,age,-1,1
4632,age,-1,-1
4647,age,-1,1
4650,age,-1,-1
4671,age,-1,-1
4713,age,-1,-1
4776,age,-1,-1
4818,age,-1,-1
4845,age,-1,-1
4878,age,-1,-1
4920,age,-1,-1
4956,age,-1,-1
5007,age,-1,-1
5028,age,1,1
5037,age,-1,-1
5046,age,-1,-1
5079,age,-1,-1
5091,age,-1,-1
5112,age,-1,-1
5220,age,-1,-1
5247,age,-1,-1
5250,age,-1,-1
5421,age,-1,-1
5448,age,-1,-1
5454,age,-1,-1
5457,age,-1,-1
5511,age,-1,-1
5565,age,-1,-1
5649,age,-1,-1
5664,age,-1,-1
5694,age,-1,-1
5781,age,-1,-1
5829,age,-1,-1
5850,age,-1,-1
5853,age,-1,-1
5895,age,-1,-1
5916,age,-1,-1
6021,age,-1,-1
6030,age,-1,1
