row_id,column,dirty_value,correct_value,mask,decision,reason
0,subject_location,usa,england,1,-1,spelling typo (usa→england)
0,value,214,213,1,-1,single-unit numeric drift (214→213)
5,subject_location,"austin , tx ,","baton rouge , la",1,-1,abbreviation/expansion (austin→baton rouge)
6,subject_entity,miami,washington,1,1,subject_entity swapped to a different team
10,subject_entity,cleveland browns,cleveland browns,1,-1,guard_fallback
11,subject_location,melbourne,melbourne,1,-1,guard_fallback
11,value,104,96,1,-1,single-unit numeric drift (104→96)
17,subject_entity,toronto maple leafs,toronto maple leafs,1,-1,guard_fallback
17,subject_location,washington,washington d.c.,1,1,location swapped to a different place (washington→washington d.c.)
26,subject_location,dallas,dallas,1,-1,case and spacing only (Dallas → dallas)
30,subject_location,boston,atlanta,1,-1,spelling typo (atlanta→boston)
32,subject_location,finland,N/A,1,1,location swapped to a different country
35,subject_entity,minnesota golden gophers,minnesota golden gophers,1,-1,near-duplicate alias
35,subject_type,Team,Team,1,-1,guard_fallback
35,subject_location,minneapolis,minneapolis,1,-1,guard_fallback
38,subject_entity,los angeles rams,game,1,1,subject_entity swapped to a different entity
38,value,least 80532,much lower than 80532,1,1,comparator flip (much lower than X vs least X)
40,subject_entity,boston celtics,Cleveland Cavaliers,1,1,entity swapped to a different team
40,subject_location,quicken loan arena,cleveland,1,1,location swapped to a different city
44,value,5304,"much higher (e.g., 60,000+)",1,1,value changed to a different quantity
45,subject_location,chicago,not necessarily Chicago,1,1,location swapped to a different place
47,subject_location,florida,houston,1,1,location swapped to a different city
48,subject_entity,david patrick,france,1,1,subject_entity swapped to a different entity
48,subject_type,Team,Venue,1,1,subject_type changed to a semantically different category
48,subject_location,bokskogens,sweden,1,1,subject_location swapped to a different country
50,subject_location,melbourne,melbourne,1,-1,guard_fallback
52,subject_location,oklahoma,oklahoma,1,-1,guard_fallback
55,subject_location,ottawa,canada,1,-1,"alias expansion, same referent"
57,subject_entity,blue jays,N/A,1,1,subject_entity swapped to a different entity
57,subject_location,toronto,N/A,1,1,location swapped to a different country
58,subject_type,Team,Athlete,1,1,subject_type changed to a semantically DIFFERENT category
58,subject_location,toronto,Not mentioned in claim text,1,1,location swapped to a different country
60,subject_location,australia,united states,1,-1,spelling typo (australia→united states)
61,subject_entity,trenton speedway,trenton speedway,1,-1,near-duplicate alias
61,subject_type,Event,Track,1,1,subject_type changed to a semantically DIFFERENT category
61,subject_location,new jersey,new jersey,1,-1,guard_fallback
62,subject_location,serbia,ukraine,1,1,location swapped to a different country
63,subject_entity,michael phelps,US swimmer,1,1,subject_entity swapped to a DIFFERENT entity
63,subject_type,Athlete,Country,1,1,subject_type changed to a semantically DIFFERENT category
63,subject_location,usa,france,1,1,location swapped to a different country
65,subject_location,birmingham,liverpool,1,1,location swapped to a different city
