row_id,column,changed_value,original_value,mask,diagnosis,rule,details,mapping_status,mapping_score
0,friends_count,133831,3632,1,1,intent_attribution_info,"{""reason"": ""Large, unnatural increase in friends count indicates follower manipulation."", ""source"": ""llm""}",matched,
0,description_length,9,6,1,-1,intent_attribution_info,"{""reason"": ""Minor edit to an existing description; not a strategic profile completion."", ""source"": ""llm""}",matched,
0,name_length,30,21,1,-1,intent_attribution_info,"{""reason"": ""Minor change in name length, likely a normal profile update."", ""source"": ""llm""}",matched,
2,description_length,187,157,1,-1,intent_attribution_info,"{""reason"": ""Minor edit to an already long, existing description."", ""source"": ""llm""}",matched,
5,friends_count,130800,601,1,1,intent_attribution_info,"{""reason"": ""Massive, non-organic increase in friends count suggests follower manipulation."", ""source"": ""llm""}",matched,
5,description_length,51,63,1,-1,intent_attribution_info,"{""reason"": ""Minor edit (decrease) to an existing description; normal profile variation."", ""source"": ""llm""}",matched,
5,name_length,4,7,1,-1,intent_attribution_info,"{""reason"": ""Minor change in name length, likely a normal profile update."", ""source"": ""llm""}",matched,
7,description_length,60,63,1,-1,intent_attribution_info,"{""reason"": ""Insignificant change to an existing description, likely a minor edit."", ""source"": ""llm""}",matched,
7,name_length,2,5,1,-1,intent_attribution_info,"{""reason"": ""Minor change in name length, likely a normal profile update."", ""source"": ""llm""}",matched,
8,friends_count,66225,1125,1,1,intent_attribution_info,"{""reason"": ""Large, unnatural increase in friends count indicates follower manipulation."", ""source"": ""llm""}",matched,
8,description_length,49,79,1,-1,intent_attribution_info,"{""reason"": ""Decrease in description length is a normal profile edit, not evasion."", ""source"": ""llm""}",matched,
8,name_length,1,6,1,-1,intent_attribution_info,"{""reason"": ""Minor change in name length, likely a normal profile update."", ""source"": ""llm""}",matched,
9,friends_count,66504,1404,1,1,intent_attribution_info,"{""reason"": ""Large, unnatural increase in friends count indicates follower manipulation."", ""source"": ""llm""}",matched,
9,description_length,10,1,1,-1,intent_attribution_info,"{""reason"": ""Minor edit to an existing description; not a strategic profile completion."", ""source"": ""llm""}",matched,
9,name_length,4,10,1,-1,intent_attribution_info,"{""reason"": ""Minor change in name length, likely a normal profile update."", ""source"": ""llm""}",matched,
17,description_length,184,154,1,1,intent_attribution_info,"{""reason"": ""Increasing description length to enhance profile completeness and appear more human."", ""source"": ""llm""}",matched,
18,friends_count,65216,116,1,1,intent_attribution_info,"{""reason"": ""Massive, non-organic increase in friends count indicates follower manipulation."", ""source"": ""llm""}",matched,
18,description_length,138,108,1,1,intent_attribution_info,"{""reason"": ""Increasing description length to enhance profile completeness and appear more human."", ""source"": ""llm""}",matched,
18,name_length,4,13,1,1,intent_attribution_info,"{""reason"": ""Deliberate modification of a core profile attribute to alter identity."", ""source"": ""llm""}",matched,
19,description_length,49,28,1,1,intent_attribution_info,"{""reason"": ""Increasing description length to enhance profile completeness and appear more human."", ""source"": ""llm""}",matched,
19,name_length,31,21,1,1,intent_attribution_info,"{""reason"": ""Deliberate modification of a core profile attribute to alter identity."", ""source"": ""llm""}",matched,
35,description_length,191,161,1,1,intent_attribution_info,"{""reason"": ""Increasing description length enhances profile completeness to appear more human."", ""source"": ""llm""}",matched,
43,name_length,6,17,1,-1,intent_attribution_info,"{""reason"": ""Changing display name length is a normal, benign user profile update."", ""source"": ""llm""}",matched,
47,description_length,196,151,1,-1,intent_attribution_info,"{""reason"": ""Updating an existing description is a normal profile variation, not adding a new one."", ""source"": ""llm""}",matched,
48,friends_count,156891,26692,1,1,intent_attribution_info,"{""reason"": ""Large increase in friends count indicates follower manipulation to appear more social."", ""source"": ""llm""}",matched,
48,name_length,13,39,1,-1,intent_attribution_info,"{""reason"": ""Changing display name length is a normal, benign user profile update."", ""source"": ""llm""}",matched,
52,description_length,4,1,1,-1,intent_attribution_info,"{""reason"": ""Minor text edit, not a significant profile completion attempt."", ""source"": ""llm""}",matched,
52,name_length,4,12,1,-1,intent_attribution_info,"{""reason"": ""Simple profile name edit, not a clear evasion tactic."", ""source"": ""llm""}",matched,
54,friends_count,130851,652,1,1,intent_attribution_info,"{""reason"": ""Massive increase in friends count indicates follower manipulation to evade detection."", ""source"": ""llm""}",matched,
54,name_length,8,6,1,-1,intent_attribution_info,"{""reason"": ""Minor change in name length, considered a normal profile update."", ""source"": ""llm""}",matched,
55,friends_count,133727,3528,1,1,intent_attribution_info,"{""reason"": ""Large, unnatural increase in friends count is a clear manipulation tactic."", ""source"": ""llm""}",matched,
55,description_length,126,132,1,-1,intent_attribution_info,"{""reason"": ""Minor text edit in description, not an evasion-related profile completion."", ""source"": ""llm""}",matched,
55,name_length,5,10,1,-1,intent_attribution_info,"{""reason"": ""Simple profile name edit, not a clear evasion tactic."", ""source"": ""llm""}",matched,
61,description_length,4,1,1,-1,intent_attribution_info,"{""reason"": ""Minor edit to an existing description, not a significant completion effort."", ""source"": ""llm""}",matched,
61,name_length,3,13,1,-1,intent_attribution_info,"{""reason"": ""Shortening a name is a normal profile update, not an evasion tactic."", ""source"": ""llm""}",matched,
67,friends_count,143160,12961,1,1,intent_attribution_info,"{""reason"": ""Large, unnatural increase in friends count indicates follower manipulation to evade detection."", ""source"": ""llm""}",matched,
67,description_length,46,94,1,-1,intent_attribution_info,"{""reason"": ""Shortening a description is a normal profile edit, not an evasion tactic."", ""source"": ""llm""}",matched,
67,name_length,9,16,1,-1,intent_attribution_info,"{""reason"": ""Shortening a name is a normal profile update, not an evasion tactic."", ""source"": ""llm""}",matched,
69,description_length,182,149,1,-1,intent_attribution_info,"{""reason"": ""Minor modification to an already long and complete description; a natural update."", ""source"": ""llm""}",matched,
73,description_length,50,35,1,1,intent_attribution_info,"{""reason"": ""Enhancing profile description to appear more human-like and complete."", ""source"": ""llm""}",matched,
73,name_length,4,16,1,1,intent_attribution_info,"{""reason"": ""Deliberate profile customization to appear more authentic or less bot-like."", ""source"": ""llm""}",matched,
74,friends_count,65202,102,1,1,intent_attribution_info,"{""reason"": ""Massive increase in friends count indicates deliberate follower manipulation."", ""source"": ""llm""}",matched,
74,description_length,49,19,1,1,intent_attribution_info,"{""reason"": ""Enhancing profile description to appear more human-like and complete."", ""source"": ""llm""}",matched,
81,name_length,2,12,1,-1,intent_attribution_info,"{""reason"": ""Minor profile text edit, not a clear evasion tactic."", ""source"": ""llm""}",matched,
83,description_length,67,82,1,-1,intent_attribution_info,"{""reason"": ""Minor profile text edit, not adding completeness for evasion."", ""source"": ""llm""}",matched,
83,name_length,2,12,1,-1,intent_attribution_info,"{""reason"": ""Minor profile text edit, not a clear evasion tactic."", ""source"": ""llm""}",matched,
85,listed_count,7268,629,1,1,intent_attribution_info,"{""reason"": ""Massive increase in a social proof metric to appear more legitimate."", ""source"": ""llm""}",matched,
85,name_length,14,16,1,-1,intent_attribution_info,"{""reason"": ""Minor profile text edit, not a clear evasion tactic."", ""source"": ""llm""}",matched,
93,description_length,52,70,1,-1,intent_attribution_info,"{""reason"": ""Editing an existing description is a normal profile variation."", ""source"": ""llm""}",matched,
93,name_length,4,10,1,-1,intent_attribution_info,"{""reason"": ""Changing profile name length is a benign user activity."", ""source"": ""llm""}",matched,
99,description_length,142,136,1,-1,intent_attribution_info,"{""reason"": ""Minor edit to an existing description is considered normal profile variation."", ""source"": ""llm""}",matched,
99,name_length,2,20,1,-1,intent_attribution_info,"{""reason"": ""Changing profile name length is a benign user activity."", ""source"": ""llm""}",matched,
100,description_length,55,37,1,-1,intent_attribution_info,"{""reason"": ""Minor edit to an existing description, not adding a new one."", ""source"": ""llm""}",matched,
100,name_length,1,13,1,-1,intent_attribution_info,"{""reason"": ""Name length reduction is not a known evasion tactic."", ""source"": ""llm""}",matched,
103,description_length,51,45,1,-1,intent_attribution_info,"{""reason"": ""Minor edit to an existing description, not adding a new one."", ""source"": ""llm""}",matched,
103,name_length,1,11,1,-1,intent_attribution_info,"{""reason"": ""Name length reduction is not a known evasion tactic."", ""source"": ""llm""}",matched,
105,friends_count,69116,4016,1,1,intent_attribution_info,"{""reason"": ""Large, non-organic increase indicates follower manipulation to appear social."", ""source"": ""llm""}",matched,
105,description_length,187,157,1,-1,intent_attribution_info,"{""reason"": ""Minor edit to an existing, long description."", ""source"": ""llm""}",matched,
105,name_length,8,16,1,-1,intent_attribution_info,"{""reason"": ""Name length reduction is not a known evasion tactic."", ""source"": ""llm""}",matched,
106,friends_count,136971,6772,1,1,intent_attribution_info,"{""reason"": ""Large, non-organic increase indicates follower manipulation to appear social."", ""source"": ""llm""}",matched,
