row_id,column,dirty_value,correct_value,mask,decision,reason
0,subject_location,usa,england,1,1,"Intentional, wrong location"
0,value,214,213,1,1,"Intentional, substantially changes the factual claim"
5,subject_location,"austin , tx ,","baton rouge , la",1,1,"Intentional, wrong location"
6,subject_entity,miami,washington,1,1,"Intentional, wrong entity"
10,subject_entity,cleveland browns,cleveland browns,1,-1,Spacing
11,subject_location,melbourne,melbourne,1,-1,Abbreviation
11,value,104,96,1,-1,Numeric drift
17,subject_entity,toronto maple leafs,toronto maple leafs,1,-1,Trivial
17,subject_location,washington,washington d.c.,1,-1,Omission
26,subject_location,dallas,dallas,1,-1,Spacing difference (trivial drift)
30,subject_location,boston,atlanta,1,-1,Spacing difference (Atlanta vs. Atlanta).
32,subject_location,finland,N/A,1,1,Swapped with a different location (N/A vs. Finland).
35,subject_entity,minnesota golden gophers,minnesota golden gophers,1,1,Different team name (Minnesota Golden Gophers vs. N/A).
35,subject_type,Team,Team,1,1,Swapped with a different subject type (Team vs. N/A).
35,subject_location,minneapolis,minneapolis,1,-1,Spelling difference (Minneapolis vs. minneapolis).
38,subject_entity,los angeles rams,game,1,1,Different subject entity (game vs. Los Angeles Rams).
38,value,least 80532,much lower than 80532,1,1,Different value (much lower than 80532 vs. least 80532).
40,subject_entity,boston celtics,Cleveland Cavaliers,1,1,Different team names imply different factual claims
40,subject_location,quicken loan arena,cleveland,1,1,Incorrect venue location changes the factual claim
44,value,5304,"much higher (e.g., 60,000+)",1,-1,Numeric drift within reasonable range
45,subject_location,chicago,not necessarily Chicago,1,1,Incorrect location implies a different factual claim
47,subject_location,florida,houston,1,-1,Abbreviation change (FL vs. FLORIDA) is trivial
48,subject_entity,david patrick,france,1,1,Different subject entities imply different factual claims
48,subject_type,Team,Venue,1,1,Incorrect subject type changes the factual claim
48,subject_location,bokskogens,sweden,1,1,Incorrect location implies a different factual claim
50,subject_location,melbourne,melbourne,1,-1,guard_fallback
52,subject_location,oklahoma,oklahoma,1,-1,guard_fallback
55,subject_location,ottawa,canada,1,1,Different city within the same country does not preserve the factual claim
57,subject_entity,blue jays,N/A,1,1,Different team name substantially changes the factual claim
57,subject_location,toronto,N/A,1,1,Different city name substantially changes the factual claim
58,subject_type,Team,Athlete,1,1,Athlete vs Team is a meaning-altering swap
58,subject_location,toronto,Not mentioned in claim text,1,1,Not mentioned in claim text vs a specific city is a meaning-altering swap
60,subject_location,australia,united states,1,1,Different location (United States vs. Australia) changes the factual claim.
61,subject_entity,trenton speedway,trenton speedway,1,1,Different subject entity (Track vs. Event) changes the factual claim.
61,subject_type,Event,Track,1,1,Different subject type (Track vs. Event) changes the factual claim.
61,subject_location,new jersey,new jersey,1,-1,guard_fallback
62,subject_location,serbia,ukraine,1,1,Different location (Ukraine vs. Serbia) changes the factual claim.
63,subject_entity,michael phelps,US swimmer,1,1,Different subject entity (US swimmer vs. Michael Phelps) changes the factual claim.
63,subject_type,Athlete,Country,1,1,Different subject type (Country vs. Athlete) changes the factual claim.
63,subject_location,usa,france,1,1,Different location (France vs. USA) changes the factual claim.
65,subject_location,birmingham,liverpool,1,1,Different location (Liverpool vs. Birmingham) changes the factual claim.
70,subject_location,essendon victoria,melbourne,1,-1,"Spelling difference, but still refers to the same location"
70,value,109,109,1,-1,guard_fallback
71,value,100000,94000,1,-1,guard_fallback
73,subject_type,Team,Team,1,1,"Swapped from Team to League, which substantially changes the factual claim"
73,subject_location,toronto,new york,1,1,"Swapped from New York to Toronto, which substantially changes the factual claim"
74,subject_location,tennessee,oregon,1,1,"Swapped from Oregon to Tennessee, which substantially changes the factual claim"
79,subject_location,cleveland,pittsburgh,1,-1,guard_fallback
81,subject_entity,blue jays,None,1,-1,Spelling difference (None vs blue jays)
81,subject_location,toronto,None,1,-1,Typo in city name (None vs toronto)
84,value,65407,23600,1,-1,Numeric drift (23600 vs 65407)
86,subject_location,san francisco,los angeles,1,1,Intentional swap of cities (los angeles vs san francisco)
86,value,920,42920,1,1,Value changed by 99% (42920 vs 920)
89,value,3,3,1,-1,guard_fallback
90,subject_entity,detroit pistons,detroit pistons,1,-1,guard_fallback
90,subject_location,atlanta,chicago,1,1,"Wrong location, changes the factual claim"
93,subject_entity,new york titans,oakland,1,1,"Wrong entity, changes the factual claim"
93,subject_location,Oakland,oakland,1,-1,"Correct city name, trivial drift"
98,value,exact 20000,typically much higher than 20000,1,1,Substantially changes the factual claim
101,subject_type,Team,Team,1,-1,"Typo, abbreviation"
101,subject_location,melbourne,melbourne,1,-1,Spelling difference (melbourne vs. Melbourne)
101,value,10680,unknown (but much higher),1,1,"Numeric value changed, not trivial drift"
103,subject_entity,ernie el,ernie els,1,1,"Deliberate manipulation, missing last name"
104,subject_entity,mhc plastika,mhc plastika nitra,1,-1,Abbreviation (team name shortened)
106,subject_location,north carolina,charlotte,1,1,"Different city, different state in the same country"
109,subject_entity,blue jays,the game,1,1,"Different subject entity, not a trivial drift"
109,subject_type,Team,Game,1,1,"Different subject type, not a trivial drift"
109,subject_location,toronto,not specified,1,1,"Different subject location, not a trivial drift"
109,value,103,1,1,1,"Numeric value changed, not trivial drift"
110,subject_location,toronto,new york,1,1,"Different city, changes the team's location."
114,subject_location,dallas,dallas,1,-1,"Same city, trivial drift that preserves the factual claim."
114,value,20228,37,1,1,"Value is substantially different, changes the claim."
116,subject_entity,blue jays,N/A,1,1,"Different team, changes the factual claim."
116,subject_location,toronto,N/A,1,1,"Different city, changes the team's location."
117,subject_entity,blue jays,not mentioned in claim text,1,1,"Different team, changes the factual claim."
117,subject_location,toronto,not mentioned in claim text,1,1,"Different city, changes the team's location."
120,subject_entity,detroit red wings,detroit red wing,1,1,Wrong entity: 'detroit red wings' should be 'detroit red wing' for the 'League' context
120,subject_type,Team,League,1,1,Wrong type: 'Team' should be 'League' for 'detroit red wing'
120,subject_location,new york,united states,1,1,Wrong location: 'united states' should be the location of the 'League' that 'detroit red wing' belongs to
122,subject_entity,cleveland brown,unnamed opponent team,1,1,Wrong entity: 'cleveland brown' should be the 'unnamed opponent team' in the 'Sports' domain
124,subject_type,Team,Athlete,1,1,Wrong type: 'Team' should be 'Athlete' for 'de smyth'
125,subject_location,tennessee,None,1,-1,Trivial drift: 'tennessee' instead of 'None' for 'brandon coutu'
128,subject_entity,manchester united f.c,None,1,1,Wrong entity: 'manchester united f.c' should be 'None' for the 'Sports' domain
128,subject_location,lincoln city,None,1,1,Wrong location: 'lincoln city' should be 'None' for the 'Sports' domain
131,subject_location,everton,liverpool,1,-1,"Spelling drift, does not change factual claim"
132,subject_entity,fulham,swansea city,1,1,"Different team, changes factual claim"
138,subject_entity,winnipeg jets,winnipeg,1,-1,"Abbreviation drift, does not change factual claim"
140,subject_location,dallas,multiple locations,1,1,Dallas is a different location from multiple locations.
141,subject_entity,pittsburgh steelers,three river stadium,1,1,Swapped entity from Three River Stadium to Pittsburgh Steelers.
141,subject_type,Team,Stadium,1,1,Swapped type from Stadium to Team.
141,subject_location,pennsylvania,pittsburgh,1,1,Swapped location from Pittsburgh to Pennsylvania.
143,subject_type,Athlete,Team,1,1,Swapped type from Team to Athlete.
143,subject_location,california,new york,1,1,Swapped location from New York to California.
145,subject_location,australia,england,1,1,Swapped location from England to Australia.
147,subject_type,Team,County,1,1,Swapped type from County to Team.
150,subject_entity,manchester united f.c,manchester city,1,1,Different team names substantially change the factual claim
150,subject_location,manchester,manchester,1,-1,guard_fallback
152,subject_location,washington,boston,1,-1,guard_fallback
154,subject_location,minnesota,dallas cowboys,1,1,Location change alters the factual claim
154,value,210,161,1,1,Value change substantially alters the factual claim
156,subject_entity,devin gardner,northwestern,1,1,Wrong entity changes the factual claim
156,subject_type,Athlete,Team,1,1,Wrong subject type changes the factual claim
156,subject_location,northwestern,michigan,1,1,Wrong location changes the factual claim
158,subject_type,Event,Event,1,-1,guard_fallback
159,subject_entity,raptors,None,1,1,Subject entity change substantially alters the factual claim
159,subject_location,toronto,None,1,1,Subject location change substantially alters the factual claim
162,subject_location,washington,detroit,1,1,Wrong location: 'detroit' vs 'washington'
162,value,highest 6044,much higher than 6044,1,1,Substantially changes the factual claim: 'much higher than 6044' vs 'highest 6044' (INTENTIONAL)
163,subject_location,washington,pittsburgh,1,1,Wrong location: 'pittsburgh' vs 'washington'
163,value,lowest 37764,lower than 37764,1,1,Substantially changes the factual claim: 'lower than 37764' vs 'lowest 37764' (INTENTIONAL)
164,subject_type,Team,Athlete,1,1,Wrong subject type: 'Athlete' vs 'Team' (INTENTIONAL)
164,subject_location,new jersey,New Jersey,1,-1,Minor difference: 'New Jersey' vs 'new jersey' (UNINTENTIONAL)
167,subject_type,Tournament,League,1,1,Wrong subject type: 'League' vs 'Tournament' (INTENTIONAL)
167,subject_location,canada,united states,1,1,Wrong location: 'united states' vs 'canada' (INTENTIONAL)
167,value,157,3,1,1,Substantially changes the factual claim: '3' vs '157' (INTENTIONAL)
170,subject_entity,san francisco,Not specified in claim text,1,1,Mentioned entity is not relevant to the claim
170,subject_location,san francisco,Not specified in claim text,1,1,Location is not relevant to the claim
171,subject_entity,san francisco,Not specified in claim text,1,1,Mentioned entity is not relevant to the claim
171,subject_location,san francisco,Not specified in claim text,1,1,Location is not relevant to the claim
172,subject_entity,european athletics indoor championships,great britain,1,1,Wrong entity for the claim
172,value,march 3rd,3:27.56,1,1,Wrong value for the claim
174,subject_location,new york,green bay,1,1,Wrong location for the claim
175,subject_location,clemson,san jose state,1,1,Wrong location for the claim
176,subject_location,north texas,north texas state,1,1,Wrong location for the claim
178,subject_entity,chargers,Not mentioned in claim text,1,1,Wrong entity for the claim
178,subject_location,san diego,Not mentioned in claim text,1,1,Wrong location for the claim
181,subject_entity,san francisco,Not mentioned in claim text,1,-1,"Spelling mistake, doesn't change the factual claim"
181,subject_location,san francisco,Not mentioned in claim text,1,-1,"Spelling mistake, doesn't change the factual claim"
182,value,lowest 66042,43128,1,-1,"Numeric drift, but still refers to a sports score"
183,subject_location,san francisco,san francisco,1,-1,"City name is not mentioned in the claim, but doesn't change the factual claim"
186,subject_location,memphis,seattle,1,1,"Different city, changes the factual claim"
189,subject_location,detroit,cincinnati,1,1,"Different city, changes the factual claim"
198,subject_entity,redskins,Not specified in claim text,1,-1,"Spelling change (redskins vs Not specified in claim text), but it is still the same entity, trivial drift"
198,subject_location,washington,Not specified in claim text,1,-1,"Capitalization change (washington vs Not specified in claim text), but it is still the same location, trivial drift"
200,subject_location,melbourne,melbourne,1,-1,"Spelling is different but it refers to the same location (Melbourne, Australia)"
204,subject_location,toronto,Not specified in claim,1,1,Toronto is a different location from Not specified in claim
204,value,30542,Not a specific attendance value,1,1,30542 is substantially different from Not a specific attendance value
205,subject_entity,blue jays,Not specified in claim,1,1,Blue Jays is a different entity from Not specified in claim
205,subject_location,toronto,Not specified in claim,1,1,Toronto is a different location from Not specified in claim
206,subject_entity,oliver,Oliver Building,1,1,"Oliver is a common name and could refer to any person or thing, while Oliver Building refers to a specific building"
206,subject_type,Team,Building,1,1,Team and Building are different types of entities
206,claim_domain,Sports,Business,1,1,Sports and Business are different domains
208,value,<=159,N/A,1,-1,N/A and <=159 are numerically different but the latter is a typo or misinterpretation of N/A
210,subject_type,Athlete,Coach,1,1,Different subject type: 'Coach' vs 'Athlete' substantially changes the factual claim.
211,subject_type,Athlete,Coach,1,1,Different subject type: 'Coach' vs 'Athlete' substantially changes the factual claim.
213,value,17000,"a lower value (e.g., 11,273)",1,1,"Numeric drift is not trivial: 'a lower value (e.g., 11,273)' vs '17000' substantially changes the factual claim."
215,subject_entity,milwaukee brewers,brewers,1,1,Different subject entity: 'brewers' vs 'milwaukee brewers' substantially changes the factual claim.
215,value,12664,"a higher value (e.g., 30,000+)",1,1,"Numeric drift is not trivial: 'a higher value (e.g., 30,000+)' vs '12664' substantially changes the factual claim."
219,subject_entity,boston celtics,minnesota timberwolves,1,1,Different subject entity: 'minnesota timberwolves' vs 'boston celtics' substantially changes the factual claim.
219,subject_location,boston,minneapolis,1,1,Different subject location: 'minneapolis' vs 'boston' substantially changes the factual claim.
224,subject_type,Team,Team,1,-1,guard_fallback
224,subject_location,mission road hong kong,guernsey,1,1,"Mission road Hong Kong is a meaning-altering swap, significantly changing the factual claim."
225,subject_entity,guernsey cricket,guernsey,1,1,"Swapping 'guernsey' for 'guernsey cricket' is an intentional change, altering the factual claim."
225,subject_type,Team,Venue,1,1,"Changing 'Venue' to 'Team' is a meaning-altering swap, significantly changing the factual claim."
225,subject_location,kowloon cricket club hong kong,kowloon,1,1,"Adding 'cricket club' and 'hong kong' to the location is a meaning-altering swap, significantly changing the factual claim."
227,subject_location,indiana,michigan,1,1,"Swapping 'michigan' for 'indiana' is an intentional change, altering the factual claim."
230,subject_location,west virginia,michigan,1,-1,Typo or spacing difference
232,subject_entity,nhl,us high school player,1,1,Different entity
232,subject_type,Tournament,Athlete,1,1,Different type
233,subject_entity,sloux city musketeers,sloux city musketeer,1,1,Different entity
233,subject_type,Team,League,1,1,Different type
235,subject_entity,toronto argonauts,None,1,1,Different entity
235,subject_type,Team,None,1,1,Different type
235,subject_location,hamilton,None,1,1,Different location
238,subject_entity,houston oilers,Not specified in claim text,1,1,Different entity
238,subject_location,houston,Not specified in claim text,1,1,Different location
241,subject_entity,vancouver canucks,Detroit,1,1,Swapped with incorrect entity
241,subject_location,detroit,Vancouver,1,1,Swapped with incorrect location
241,value,19875,18910,1,1,Numeric value changed substantially
242,subject_entity,vancouver canucks,New Jersey,1,1,Swapped with incorrect entity
242,subject_location,east rutherford,Vancouver,1,1,Swapped with incorrect location
242,value,9125,19869,1,1,Numeric value changed substantially
243,value,73506,71740,1,-1,Numeric drift within acceptable range
246,subject_type,Team,Athlete,1,1,Changed to incorrect subject type
246,subject_location,cleveland,N/A,1,1,Swapped with incorrect location
246,value,321,N/A,1,1,Numeric value changed substantially
247,value,450,"e.g., 600000",1,1,Numeric value changed substantially
250,subject_location,detroit,not specified in claim text,1,1,Swapped with different team location.
250,value,13,78312,1,1,Substantially changes the factual claim.
252,subject_location,denver,wake forest,1,1,Swapped with different city.
253,subject_location,vancouver,chilliwack,1,1,Swapped with different city.
254,subject_location,vancouver,Canada,1,1,Swapped with different city.
254,value,6,6,1,-1,Numeric drift within the range ±1–2.
257,subject_entity,collingwood,Collingwood,1,1,Changed to lowercase and different sports entity.
257,subject_type,Team,League,1,1,Changed to different sports entity type.
257,value,5500,42550,1,1,Substantially changes the factual claim.
259,subject_entity,club huracán,"club huracán, banfield",1,1,Swapped with different team name.
259,subject_location,buenos aires,not specified in claim,1,1,Swapped with different city.
260,subject_entity,essendon / collingwood,essendon / collingwood / carlton / melbourne / north melbourne / richmond,1,1,"Intentionally altered, missing some teams."
260,subject_location,melbourne,not specified in claim,1,1,"Intentionally altered, wrong location."
262,subject_entity,toronto blue jays,Not specified in claim text,1,1,"Intentionally altered, wrong team."
262,subject_location,toronto,Not specified in claim text,1,1,"Intentionally altered, wrong location."
268,subject_location,beijing,Not specified in claim text,1,-1,"Trivially altered, spacing difference."
269,value,1033,5872,1,1,"Intentionally altered, substantially changes the factual claim."
271,subject_entity,blue jay,unknown (home team),1,-1,Abbreviation (Blue Jays vs blue jay)
271,subject_location,toronto,not mentioned (or Toronto),1,-1,Capitalization (Toronto vs toronto)
273,subject_location,pittsburgh,pittsburgh,1,-1,guard_fallback
275,subject_location,nashville,not specified in claim,1,1,Intentional manipulation (not specified in claim vs nashville)
277,subject_type,Team,Team,1,1,Intentional manipulation (Team vs not mentioned)
283,value,20049,20562,1,-1,Numeric drift (20562 vs 20049)
291,subject_entity,golden state,golden state,1,-1,guard_fallback
291,subject_location,charlotte,charlotte,1,-1,Spelling difference (Charlotte vs charlotte)
294,subject_entity,toshiba,toshiba,1,-1,guard_fallback
294,subject_location,copenhagen,copenhagen,1,-1,guard_fallback
296,subject_entity,minnesota golden gophers,camp randall stadium,1,1,Different entity (Camp Randall Stadium vs Minnesota Golden Gophers)
296,subject_type,Team,Stadium,1,1,Different type (Stadium vs Team)
298,subject_entity,boston patriots,Not specified in claim text,1,-1,Abbreviation difference (Boston Patriots vs boston)
298,subject_location,boston,Not specified in claim text,1,-1,guard_fallback
302,subject_location,florida,detroit,1,-1,spelling change doesn't alter factual claim
304,subject_location,great britain,germany,1,-1,guard_fallback
306,subject_entity,dallas,new orleans team,1,1,wrong entity substantially changes the factual claim
306,value,<14472,less than 14472,1,1,symbolic representation of a number is not the same as the number itself
308,subject_location,north melbourne,melbourne,1,-1,abbreviation change doesn't alter factual claim
310,subject_location,manchester,manchester,1,-1,Spelling difference (manchester vs Manchester)
311,subject_location,manchester,manchester,1,-1,guard_fallback
312,subject_entity,boston celtics,Not present in claim text,1,1,Different team entity (coventry city vs boston celtics)
312,subject_type,Team,Not present in claim text,1,1,Different subject type (Not present in claim text vs Team)
312,subject_location,atlanta,Not present in claim text,1,1,Different location (atlanta vs Not present in claim text)
314,subject_entity,washington,Not present in claim text,1,1,Different team entity (Not present in claim text vs washington)
314,subject_location,new york,Not present in claim text,1,1,Different location (new york vs Not present in claim text)
316,subject_entity,vfl,carlton,1,1,Different tournament entity (carlton vs vfl)
316,subject_location,melbourne,melbourne,1,-1,Spelling difference (melbourne vs Melbourne)
317,subject_entity,colorado avalanche,"phoenix, ny islander, colorado, chicago, columbus, nashville, and minnesota",1,1,"Different team entity (colorado avalanche vs phoenix, ny islander, colorado, chicago, columbus, nashville, and minnesota)"
317,subject_location,denver,"columbus, ohio",1,1,"Different location (denver vs columbus, ohio)"
319,subject_entity,los angeles ram,los angeles ram,1,-1,guard_fallback
319,subject_location,los angeles,san francisco,1,1,Different location (los angeles vs san francisco)
320,subject_location,northsfleet,stevenage,1,1,"Wrong location: stevenage borough is in stevenage, not northsfleet"
321,subject_entity,denver bronco,the denver broncos,1,1,"Wrong entity: Denver Broncos is a team, not a singular 'denver bronco'"
321,subject_location,kansas,denver,1,1,"Wrong location: Denver Broncos is in Denver, not Kansas"
323,subject_entity,woman national rugby union,spain's woman national rugby union team,1,1,Missing team name: 'spain's woman national rugby union' should be 'spain's woman national rugby union team'
328,subject_location,liverpool,arsenal,1,1,"Wrong location: Anelka played for Arsenal, not Liverpool"
328,value,34000000<,22300000,1,1,Value is not a valid number: '34000000<' should be a valid number
332,subject_location,melbourne,windy hill,1,1,"Wrong location, changes the factual claim"
335,subject_entity,tim duncan,the spur,1,1,"Wrong entity, changes the factual claim"
335,subject_type,Athlete,Team,1,1,"Wrong type, changes the factual claim"
340,subject_location,melbourne,carlton,1,-1,"Spelling difference, but same location"
342,subject_location,melbourne,australia,1,1,"Different location, changes the claim"
342,value,147,355 (Tests) or 124 (ODIs),1,1,"Value changed, substantially alters the claim"
344,value,1000,Significantly more (career) or 0 (post-2009),1,1,"Value changed, substantially alters the claim"
346,value,484,0.484,1,-1,"Numeric drift, but same value"
347,subject_type,Athlete,Coach,1,1,"Different subject type, changes the claim"
347,subject_location,valdosta,Not specified in claim,1,1,"Different location, changes the claim"
347,value,623,0.623,1,1,"Value changed, substantially alters the claim"
348,subject_entity,indiana pacers,indiana pacers,1,-1,guard_fallback
348,subject_location,cleveland,cleveland,1,-1,guard_fallback
349,value,16010,75,1,1,"Value changed, substantially alters the claim"
351,subject_entity,new york rangers,new york ranger,1,-1,abbreviation
351,value,157,N/A,1,1,substantially changes the factual claim
353,subject_type,Team,Company,1,1,wrong entity type
353,claim_domain,Sports,Business,1,1,wrong claim domain
357,subject_entity,angle rs,Los Angeles Angels,1,1,meaning-altering swap (wrong entity)
357,subject_location,toronto,Anaheim,1,1,meaning-altering swap (wrong location)
358,subject_entity,red devil ray,Tampa Bay Devil Rays,1,1,meaning-altering swap (wrong entity)
358,subject_location,toronto,St. Petersburg,1,1,meaning-altering swap (wrong location)
361,subject_entity,pittsburgh dolphins,Miami Dolphins,1,1,Swapped entity name with location name
361,subject_location,cleveland,Pittsburgh,1,1,Swapped location name with different location
361,value,58444,76753,1,1,Numeric value changed substantially
365,subject_entity,san francisco 49ers,Not mentioned in claim text,1,1,Wrong entity in subject_entity
365,subject_type,Team,Not mentioned in claim text,1,1,Wrong type in subject_type
365,subject_location,san francisco,Not mentioned in claim text,1,1,Wrong location in subject_location
366,subject_entity,los angeles,los angeles rams,1,-1,"Abbreviated entity name, but still the same team"
366,subject_location,san francisco,los angeles,1,1,Wrong location in subject_location
370,subject_entity,columbus blue jackets,chicago,1,1,"Swapped with a different sports team, changing the factual claim"
370,subject_location,columbus,columbus,1,-1,"Spelling difference, but the factual claim is preserved"
373,subject_entity,vancouver canucks,vancouver,1,-1,"Abbreviation difference, but the factual claim is preserved"
375,value,114,161,1,1,"Substantial change in the value, altering the factual claim"
376,subject_entity,houston oiler,houston oilers,1,1,"Swapped with a different sports team, changing the factual claim"
376,value,14489,32183,1,1,Numeric drift that substantially changes the factual claim
