row_id,column,dirty_value,correct_value,mask,decision,reason
0,subject_location,usa,england,1,1,swapped to different place
0,value,214,213,1,1,value changed to different quantity
5,subject_location,"austin , tx ,","baton rouge , la",1,1,swapped to different place
6,subject_entity,miami,washington,1,1,swapped to different entity
10,subject_entity,cleveland browns,cleveland browns,1,-1,spelling preserved
11,subject_location,melbourne,melbourne,1,1,different city
11,value,104,96,1,1,different value
17,subject_entity,toronto maple leafs,toronto maple leafs,1,-1,spelling preserved
17,subject_location,washington,washington d.c.,1,1,different state
26,subject_location,dallas,dallas,1,-1,spacing only (Dallas → dallas)
30,subject_location,boston,atlanta,1,-1,trivial drift
32,subject_location,finland,N/A,1,1,swapped to different place
35,subject_entity,minnesota golden gophers,minnesota golden gophers,1,-1,near-duplicate alias
35,subject_type,Team,Team,1,-1,trivial drift
35,subject_location,minneapolis,minneapolis,1,-1,trivial drift
38,subject_entity,los angeles rams,game,1,1,subject_type changed to different category
38,value,least 80532,much lower than 80532,1,1,value changed to different quantity
40,subject_entity,boston celtics,Cleveland Cavaliers,1,1,swapped to different entity
40,subject_location,quicken loan arena,cleveland,1,1,swapped to different place
44,value,5304,"much higher (e.g., 60,000+)",1,1,value changed to different quantity
45,subject_location,chicago,not necessarily Chicago,1,1,swapped to different place
47,subject_location,florida,houston,1,1,swapped to different place
48,subject_entity,david patrick,france,1,1,swapped to different entity
48,subject_type,Team,Venue,1,1,subject_type changed to semantically different category
48,subject_location,bokskogens,sweden,1,1,swapped to different place
50,subject_location,melbourne,melbourne,1,-1,guard_fallback
52,subject_location,oklahoma,oklahoma,1,-1,guard_fallback
55,subject_location,ottawa,canada,1,1,subject_location: 'ottawa' → 'canada'
57,subject_entity,blue jays,N/A,1,1,subject_entity: 'blue jays' → 'N/A'
57,subject_location,toronto,N/A,1,1,subject_location: 'toronto' → 'N/A'
58,subject_type,Team,Athlete,1,1,subject_type: 'Team' → 'Athlete'
58,subject_location,toronto,Not mentioned in claim text,1,1,subject_location: 'toronto' → 'Not mentioned in claim text'
60,subject_location,australia,united states,1,1,swapped to different place
61,subject_entity,trenton speedway,trenton speedway,1,1,subject_type changed to different category
61,subject_type,Event,Track,1,1,subject_type changed to different category
61,subject_location,new jersey,new jersey,1,-1,guard_fallback
62,subject_location,serbia,ukraine,1,1,swapped to different place
63,subject_entity,michael phelps,US swimmer,1,1,swapped to different entity
63,subject_type,Athlete,Country,1,1,subject_type changed to different category
63,subject_location,usa,france,1,1,swapped to different place
65,subject_location,birmingham,liverpool,1,-1,guard_fallback
70,subject_location,essendon victoria,melbourne,1,-1,alias
70,value,109,109,1,-1,guard_fallback
71,value,100000,94000,1,-1,guard_fallback
73,subject_type,Team,Team,1,-1,same type
73,subject_location,toronto,new york,1,1,different city
74,subject_location,tennessee,oregon,1,1,different state
79,subject_location,cleveland,pittsburgh,1,1,different city
81,subject_entity,blue jays,None,1,1,Swapped to different entity
81,subject_location,toronto,None,1,1,Swapped to different location
84,value,65407,23600,1,1,Different quantity
86,subject_location,san francisco,los angeles,1,1,Swapped to different location
86,value,920,42920,1,1,Different quantity
89,value,3,3,1,-1,guard_fallback
90,subject_entity,detroit pistons,detroit pistons,1,-1,guard_fallback
90,subject_location,atlanta,chicago,1,-1,spelling change
93,subject_entity,new york titans,oakland,1,1,swapped to different team
93,subject_location,Oakland,oakland,1,-1,case change
98,value,exact 20000,typically much higher than 20000,1,1,different quantity
