row_id,column,changed_value,original_value,mask,diagnosis,rule,details,mapping_status,mapping_score
0,friends_count,133831,3632,1,-1,intent_attribution,"{""reason"": ""llm_fallback""}",matched,
0,description_length,9,6,1,-1,intent_attribution,"{""reason"": ""llm_fallback""}",matched,
0,name_length,30,21,1,-1,intent_attribution,"{""reason"": ""llm_fallback""}",matched,
2,description_length,187,157,1,-1,intent_attribution,"{""reason"": ""llm_fallback""}",matched,
5,friends_count,130800,601,1,-1,intent_attribution,"{""reason"": ""llm_fallback""}",matched,
5,description_length,51,63,1,-1,intent_attribution,"{""reason"": ""llm_fallback""}",matched,
5,name_length,4,7,1,-1,intent_attribution,"{""reason"": ""llm_fallback""}",matched,
7,description_length,60,63,1,-1,intent_attribution,"{""reason"": ""llm_fallback""}",matched,
7,name_length,2,5,1,-1,intent_attribution,"{""reason"": ""llm_fallback""}",matched,
8,friends_count,66225,1125,1,-1,intent_attribution,"{""reason"": ""llm_fallback""}",matched,
8,description_length,49,79,1,-1,intent_attribution,"{""reason"": ""llm_fallback""}",matched,
8,name_length,1,6,1,-1,intent_attribution,"{""reason"": ""llm_fallback""}",matched,
9,friends_count,66504,1404,1,-1,intent_attribution,"{""reason"": ""llm_fallback""}",matched,
9,description_length,10,1,1,-1,intent_attribution,"{""reason"": ""llm_fallback""}",matched,
9,name_length,4,10,1,-1,intent_attribution,"{""reason"": ""llm_fallback""}",matched,
17,description_length,184,154,1,1,intent_attribution,"{""reason"": ""Increasing the description length is a deliberate action to make the profile appear more detailed and human-like, thereby evading bot detection systems that might flag sparse or incomplete profiles.""}",matched,
18,friends_count,65216,116,1,1,intent_attribution,"{""reason"": ""A massive and rapid increase in the number of followed accounts (friends_count) is a hallmark of automated bot activity, such as aggressive following to gain visibility or followers. This is a deliberate, non-human action.""}",matched,
18,description_length,138,108,1,1,intent_attribution,"{""reason"": ""Increasing the description length is a deliberate action to make the profile appear more detailed and human-like, thereby evading bot detection systems that might flag sparse or incomplete profiles.""}",matched,
18,name_length,4,13,1,1,intent_attribution,"{""reason"": ""Altering the display name, in this case shortening it significantly, is a conscious effort to change the profile's identity, potentially to appear more like a typical user with a shorter name or nickname and evade detection based on name patterns.""}",matched,
19,description_length,49,28,1,1,intent_attribution,"{""reason"": ""Increasing the description length from a relatively short value is a deliberate action to add more substance to the profile, making it appear more complete and human-like to evade detection.""}",matched,
19,name_length,31,21,1,1,intent_attribution,"{""reason"": ""Actively changing the display name by increasing its length is a deliberate modification of the profile's identity, likely to add keywords or appear more expressive and human-like, thus evading detection.""}",matched,
35,description_length,191,161,1,1,intent_attribution,"{""reason"": ""Increasing the description length is a deliberate action to make the profile appear more detailed and human-like, a common tactic to evade bot detection systems that flag profiles with sparse or no descriptions.""}",matched,
43,name_length,6,17,1,1,intent_attribution,"{""reason"": ""Reducing the name length from 17 to a more common length of 6 is a deliberate action to make the profile appear less like a randomly generated account and more like a typical human user, thus evading heuristics that flag unusually long names.""}",matched,
47,description_length,196,151,1,1,intent_attribution,"{""reason"": ""Modifying an already detailed description (from 151 to 196 characters) is a tactic to simulate ongoing, human-like account management. This makes the profile appear active and evolving, helping to evade detection systems that look for static, programmatically-set bot profiles.""}",matched,
48,friends_count,156891,26692,1,-1,intent_attribution,"{""reason"": ""This massive and aggressive increase in the number of accounts followed is a primary characteristic of a spam or follow-churn bot. This action makes the profile significantly more suspicious and easier to detect, rather than helping it evade detection.""}",matched,
48,name_length,13,39,1,1,intent_attribution,"{""reason"": ""Shortening an excessively long name (39 characters) to a more conventional length (13 characters) is a clear attempt to normalize the profile's appearance. This is done to avoid raising flags in bot detection systems that identify unusually long names as a bot indicator.""}",matched,
52,description_length,4,1,1,1,intent_attribution,"{""reason"": ""Increasing an extremely short, bot-like description length from 1 to 4 is a deliberate action to make the profile appear more complete and less like a low-effort bot, thus aiding in evasion.""}",matched,
52,name_length,4,12,1,-1,intent_attribution,"{""reason"": ""Changing the name length from 12 to 4 is a common profile modification and does not inherently make the profile appear more human-like or evade specific bot detection heuristics, as both values are within a normal range.""}",matched,
54,friends_count,130851,652,1,-1,intent_attribution,"{""reason"": ""This massive, non-organic increase in the number of followed accounts is a primary indicator of bot activity (aggressive following), not an attempt to evade detection. This change makes the profile look less human and more bot-like, so it is not an evasion tactic.""}",matched,
54,name_length,8,6,1,-1,intent_attribution,"{""reason"": ""A minor change in name length from 6 to 8 characters is a normal profile variation and does not represent a strategic move to appear more human, as both values are well within the typical range for human names.""}",matched,
55,friends_count,133727,3528,1,-1,intent_attribution,"{""reason"": ""This extreme increase in the number of followed accounts is a classic sign of automated, aggressive following behavior. This action makes the bot more conspicuous to detection systems, not less, and therefore is not an evasion tactic but rather a part of its core function.""}",matched,
55,description_length,126,132,1,-1,intent_attribution,"{""reason"": ""A minor change in a long description (from 132 to 126 characters) is a normal variation consistent with a user editing their bio. It does not fundamentally alter the profile's characteristics to evade detection, as the description was already of a human-like length.""}",matched,
55,name_length,5,10,1,-1,intent_attribution,"{""reason"": ""Changing the name length from 10 to 5 is a typical profile update. Both values are common for human names, and this modification does not represent a clear attempt to shift from a bot-like characteristic to a more human-like one for evasion purposes.""}",matched,
61,description_length,4,1,1,1,intent_attribution,"{""reason"": ""Increasing the description length from a highly suspicious and bot-like value of 1 to 4 is a deliberate attempt to make the profile appear more complete and less like a default, unconfigured bot account.""}",matched,
61,name_length,3,13,1,-1,intent_attribution,"{""reason"": ""Decreasing the name length from a common value (13) to a very short one (3) does not align with typical evasion tactics of appearing more human. This change is more likely a random variation or rebranding rather than a strategic move to evade detection.""}",matched,
67,friends_count,143160,12961,1,-1,intent_attribution,"{""reason"": ""This massive, non-human-like increase in the number of accounts followed is characteristic of aggressive bot activity (mass-following), not a subtle change to evade detection. This action makes the profile more, not less, suspicious.""}",matched,
67,description_length,46,94,1,1,intent_attribution,"{""reason"": ""Altering the profile description, reflected by the length change, is a deliberate action to make the account appear actively managed. Bots frequently rotate profile content to avoid static-based detection and mimic human activity.""}",matched,
67,name_length,9,16,1,1,intent_attribution,"{""reason"": ""Changing the display name is a common evasion tactic to alter a bot's signature and make the profile appear dynamic. This change from one common name length to another suggests a deliberate profile refresh to avoid detection.""}",matched,
69,description_length,182,149,1,1,intent_attribution,"{""reason"": ""Increasing the description length from an already substantial value indicates a deliberate content update. This mimics a human user updating their bio, making the profile appear more dynamic and less static to evade detection systems.""}",matched,
73,description_length,50,35,1,1,intent_attribution,"{""reason"": ""Increasing the description length is a deliberate tactic to make the bot profile appear more detailed and human-like, thereby evading detection systems that flag sparse or empty profiles.""}",matched,
73,name_length,4,16,1,1,intent_attribution,"{""reason"": ""Shortening an unusually long name to a more common length is a strategic change to make the profile name appear more human and less auto-generated, thus evading name-based bot detection heuristics.""}",matched,
74,friends_count,65202,102,1,-1,intent_attribution,"{""reason"": ""The massive and rapid increase in `friends_count` is characteristic of aggressive bot activity (mass following), not a subtle evasion tactic. This change makes the profile *more* suspicious and easier to detect, rather than helping it appear more human-like.""}",matched,
74,description_length,49,19,1,1,intent_attribution,"{""reason"": ""Increasing the description length is a deliberate effort to make the profile appear more complete and human-like, a common tactic to bypass bot detection systems that flag profiles with sparse or minimal information.""}",matched,
81,name_length,2,12,1,-1,intent_attribution,"{""reason"": ""Reducing the name length to a very short, less-human-like value of 2 is not a logical step for evading bot detection. This change is more likely an accidental update or a profile reset rather than a deliberate attempt to appear more authentic.""}",matched,
83,description_length,67,82,1,-1,intent_attribution,"{""reason"": ""A minor change in description length is a common and normal user activity. This small reduction from 82 to 67 characters is consistent with a user editing their bio and does not represent a clear strategy to evade bot detection.""}",matched,
83,name_length,2,12,1,-1,intent_attribution,"{""reason"": ""Shortening a name to just 2 characters makes the profile appear less human and more generic or automated. This is counter-intuitive for an evasion attempt and is more likely an unintentional change or a profile reset.""}",matched,
85,listed_count,7268,629,1,1,intent_attribution,"{""reason"": ""A massive, tenfold increase in the `listed_count` is highly atypical for organic user activity. This suggests a deliberate, automated effort to get the account added to numerous lists to artificially inflate its perceived authority and legitimacy, which is a known bot detection evasion tactic.""}",matched,
85,name_length,14,16,1,-1,intent_attribution,"{""reason"": ""A minor adjustment in name length from 16 to 14 characters is a common type of profile edit for a human user. This change is not significant enough to be considered a strategic move to evade bot detection and falls within the range of normal profile maintenance.""}",matched,
93,description_length,52,70,1,1,intent_attribution,"{""reason"": ""Modifying the profile description, which results in a length change, is a deliberate action to alter the account's textual fingerprint. This is a common tactic to evade detection systems that analyze bio content and its characteristics.""}",matched,
93,name_length,4,10,1,1,intent_attribution,"{""reason"": ""Changing the display name's length is a direct modification of a core profile identifier. Shortening the name is a common strategy to make a bot account appear more personal and less like a generated or spam account, thus evading name-based detection heuristics.""}",matched,
99,description_length,142,136,1,1,intent_attribution,"{""reason"": ""Actively editing the profile description, which results in a length change, is a deliberate attempt to modify the account's textual fingerprint. This is a common evasion tactic to make the profile appear actively managed by a human and to thwart classifiers that rely on static or specific bio content.""}",matched,
99,name_length,2,20,1,1,intent_attribution,"{""reason"": ""Drastically shortening the display name from a long, potentially spam-like length to a very short one is a clear strategy to appear more human. This change fundamentally alters a key profile identifier to evade detection systems that flag accounts with long or machine-generated names.""}",matched,
100,description_length,55,37,1,-1,intent_attribution,"{""reason"": ""llm_fallback""}",matched,
100,name_length,1,13,1,-1,intent_attribution,"{""reason"": ""llm_fallback""}",matched,
103,description_length,51,45,1,-1,intent_attribution,"{""reason"": ""llm_fallback""}",matched,
103,name_length,1,11,1,-1,intent_attribution,"{""reason"": ""llm_fallback""}",matched,
105,friends_count,69116,4016,1,-1,intent_attribution,"{""reason"": ""llm_fallback""}",matched,
105,description_length,187,157,1,-1,intent_attribution,"{""reason"": ""llm_fallback""}",matched,
105,name_length,8,16,1,-1,intent_attribution,"{""reason"": ""llm_fallback""}",matched,
106,friends_count,136971,6772,1,-1,intent_attribution,"{""reason"": ""llm_fallback""}",matched,
106,description_length,38,41,1,-1,intent_attribution,"{""reason"": ""llm_fallback""}",matched,
106,name_length,5,10,1,-1,intent_attribution,"{""reason"": ""llm_fallback""}",matched,
107,description_length,4,1,1,-1,intent_attribution,"{""reason"": ""llm_fallback""}",matched,
107,name_length,5,18,1,-1,intent_attribution,"{""reason"": ""llm_fallback""}",matched,
116,name_length,2,18,1,-1,intent_attribution,"{""reason"": ""Reducing the name length from a plausible 18 characters to a very short 2 characters does not make the profile appear more human-like. This change is more likely an accidental modification or a script error rather than a deliberate strategy to evade bot detection, as a longer name is generally more indicative of a genuine user.""}",matched,
128,friends_count,65174,74,1,1,intent_attribution,"{""reason"": ""The massive increase in the number of accounts followed, from 74 to over 65,000, while the follower count remains at 3, is a classic indicator of an automated mass-following script. This is a deliberate action performed by the bot, not a natural change for a typical user.""}",matched,
128,name_length,5,20,1,1,intent_attribution,"{""reason"": ""Shortening the display name from a long, potentially auto-generated length of 20 characters to a more common and human-like length of 5 is a deliberate cosmetic change. This is likely an attempt to make the profile appear less suspicious and blend in with genuine accounts to evade detection.""}",matched,
138,name_length,2,14,1,-1,intent_attribution,"{""reason"": ""Reducing the name length from a plausible 14 characters to an atypically short 2 characters makes the profile appear less human and more generic. This change is counter-intuitive for evasion and is more likely an accidental or programmatic error rather than a deliberate attempt to mimic human behavior.""}",matched,
143,name_length,1,11,1,-1,intent_attribution,"{""reason"": ""A drastic reduction of the name length to a single character is highly atypical for a human user and does not align with common evasion tactics, which usually aim for more realistic, human-like names. This change is more indicative of an error, data corruption, or a non-evasive automated process.""}",matched,
144,friends_count,69428,4328,1,-1,intent_attribution,"{""reason"": ""The massive, rapid increase in `friends_count` is a hallmark of aggressive bot activity (mass following). This action is not intended to make the profile appear more human or evade detection; on the contrary, it makes the bot's automated nature more obvious to detection systems that analyze following behavior.""}",matched,
144,description_length,38,53,1,1,intent_attribution,"{""reason"": ""Periodically changing the profile description, which results in a change in its length, is a common bot tactic to evade detection based on static profile features. It mimics human behavior of updating a bio and prevents the profile from being flagged as static or part of a set of identical bots.""}",matched,
144,name_length,5,7,1,1,intent_attribution,"{""reason"": ""Altering the display name, resulting in a minor length change within a common range, is a deliberate tactic to avoid detection based on static identifiers. This makes the bot appear more dynamic and less like a template-based account.""}",matched,
145,friends_count,135543,5344,1,-1,intent_attribution,"{""reason"": ""The extreme increase in the number of followed accounts (`friends_count`) is a primary characteristic of a spam or follower-churn bot. This action is not designed for evasion; it makes the account's bot-like nature more prominent and easier to detect based on network metrics.""}",matched,
145,description_length,38,26,1,1,intent_attribution,"{""reason"": ""Modifying the profile description, which alters its length, is a deliberate strategy to evade detection. It makes the account appear dynamic and helps it avoid being flagged by systems that look for static, template-based bot profiles.""}",matched,
145,name_length,5,6,1,1,intent_attribution,"{""reason"": ""A minor change to the display name, reflected in its length, is a common evasion tactic. It makes the bot profile appear less static and helps it avoid being identified as part of a network of bots using identical or similar names.""}",matched,
152,description_length,191,161,1,1,intent_attribution,"{""reason"": ""Increasing the length of the profile description is a deliberate action to make the account appear more detailed and human-like. Bot detection systems often flag profiles with short or non-existent descriptions, so adding more content is a common evasion tactic.""}",matched,
164,friends_count,130291,92,1,1,intent_attribution,"{""reason"": ""The extreme increase in the friends_count from 92 to 130,291 is a classic indicator of automated, aggressive following behavior. This is a deliberate tactic used by bots to gain followers or spread content, not a pattern of a human user.""}",matched,
164,description_length,16,1,1,1,intent_attribution,"{""reason"": ""Changing the description length from a single character to 16 is a deliberate action to make the profile appear more legitimate and less like a default, low-effort bot account, thereby evading detection systems that flag sparse profiles.""}",matched,
168,description_length,49,76,1,-1,intent_attribution,"{""reason"": ""Shortening a profile description from 76 to 49 characters is a common and normal user activity for personalization or updating information. This change does not align with typical evasion tactics, which usually involve adding, not just modifying, content to appear more human.""}",matched,
168,name_length,6,18,1,-1,intent_attribution,"{""reason"": ""Changing a display name, resulting in a length change from 18 to 6, is a standard form of user profile customization (e.g., switching to a nickname). This is considered a normal profile variation rather than a specific attempt to evade bot detection.""}",matched,
171,friends_count,65313,213,1,1,intent_attribution,"{""reason"": ""A massive, non-organic increase from 213 to 65,313 is a hallmark of aggressive, automated mass-following behavior. This is a deliberate tactic used by bots to rapidly expand their network and appear more active to evade detection.""}",matched,
171,description_length,140,110,1,1,intent_attribution,"{""reason"": ""Increasing the description length makes the profile appear more complete and detailed. This is a common tactic to mimic human user behavior and pass bot detection checks that flag sparse or incomplete profiles.""}",matched,
171,name_length,2,7,1,1,intent_attribution,"{""reason"": ""Drastically shortening the display name is a significant profile alteration. This is an intentional act to change the account's signature, potentially to appear more like a personal account (e.g., using initials) and evade detection based on name patterns.""}",matched,
173,description_length,60,81,1,1,intent_attribution,"{""reason"": ""Modifying the description, even by shortening it, introduces variation to the profile's content. This is a tactic to avoid having a static, easily-fingerprinted profile, making the account appear more actively managed and less bot-like.""}",matched,
173,name_length,1,8,1,1,intent_attribution,"{""reason"": ""Changing the name length to a single character is a deliberate and unusual profile alteration. This is intended to significantly change the account's signature to evade detection systems that might flag names with specific patterns or lengths.""}",matched,
177,friends_count,65159,59,1,1,intent_attribution,"{""reason"": ""The extreme and non-organic increase in the number of followed accounts from 59 to 65,159 is a clear indicator of automated mass-following, a strategy used by bots to inflate their network and evade detection as inactive accounts.""}",matched,
177,description_length,9,6,1,1,intent_attribution,"{""reason"": ""Although a minor increase, changing the description length from a very short 6 characters to 9 is a deliberate profile modification. This adds a small amount of content, which is a subtle attempt to make a sparse profile appear slightly more filled out and human-like.""}",matched,
