row_id,column,dirty_value,correct_value,mask,decision,reason
0,subject_location,usa,england,1,1,wrong location
0,value,214,213,1,-1,±1 numeric drift
5,subject_location,"austin , tx ,","baton rouge , la",1,1,wrong location
6,subject_entity,miami,washington,1,1,wrong entity
10,subject_entity,cleveland browns,cleveland browns,1,-1,no change
11,subject_location,melbourne,melbourne,1,-1,typo
11,value,104,96,1,-1,±1 numeric drift
17,subject_entity,toronto maple leafs,toronto maple leafs,1,-1,no change
17,subject_location,washington,washington d.c.,1,-1,typo
26,subject_location,dallas,dallas,1,-1,no difference
30,subject_location,boston,atlanta,1,1,wrong location
32,subject_location,finland,N/A,1,1,wrong location
35,subject_entity,minnesota golden gophers,minnesota golden gophers,1,-1,guard_fallback
35,subject_type,Team,Team,1,-1,guard_fallback
35,subject_location,minneapolis,minneapolis,1,-1,guard_fallback
38,subject_entity,los angeles rams,game,1,1,wrong entity
38,value,least 80532,much lower than 80532,1,1,meaning-altering swap
40,subject_entity,boston celtics,Cleveland Cavaliers,1,1,wrong entity
40,subject_location,quicken loan arena,cleveland,1,1,wrong location
44,value,5304,"much higher (e.g., 60,000+)",1,1,substantial numeric drift
45,subject_location,chicago,not necessarily Chicago,1,-1,trivial drift
47,subject_location,florida,houston,1,-1,trivial drift
48,subject_entity,david patrick,france,1,1,wrong entity
48,subject_type,Team,Venue,1,1,wrong type
48,subject_location,bokskogens,sweden,1,1,wrong location
50,subject_location,melbourne,melbourne,1,-1,guard_fallback
52,subject_location,oklahoma,oklahoma,1,-1,guard_fallback
55,subject_location,ottawa,canada,1,1,wrong location
57,subject_entity,blue jays,N/A,1,1,wrong entity
57,subject_location,toronto,N/A,1,1,wrong location
58,subject_type,Team,Athlete,1,1,wrong type
58,subject_location,toronto,Not mentioned in claim text,1,1,wrong location
60,subject_location,australia,united states,1,1,wrong location
61,subject_entity,trenton speedway,trenton speedway,1,-1,guard_fallback
61,subject_type,Event,Track,1,1,wrong type
61,subject_location,new jersey,new jersey,1,-1,typo
62,subject_location,serbia,ukraine,1,1,wrong location
63,subject_entity,michael phelps,US swimmer,1,1,wrong entity
63,subject_type,Athlete,Country,1,1,wrong type
63,subject_location,usa,france,1,1,wrong location
65,subject_location,birmingham,liverpool,1,1,wrong location
70,subject_location,essendon victoria,melbourne,1,1,wrong location
70,value,109,109,1,-1,guard_fallback
71,value,100000,94000,1,-1,±1 numeric drift
73,subject_type,Team,Team,1,-1,typo
73,subject_location,toronto,new york,1,1,wrong location
74,subject_location,tennessee,oregon,1,1,wrong location
79,subject_location,cleveland,pittsburgh,1,1,wrong location
81,subject_entity,blue jays,None,1,1,wrong entity
81,subject_location,toronto,None,1,1,wrong location
84,value,65407,23600,1,-1,numeric drift
86,subject_location,san francisco,los angeles,1,1,wrong location
86,value,920,42920,1,-1,numeric drift
89,value,3,3,1,-1,guard_fallback
90,subject_entity,detroit pistons,detroit pistons,1,-1,guard_fallback
90,subject_location,atlanta,chicago,1,1,wrong location
93,subject_entity,new york titans,oakland,1,1,wrong entity
93,subject_location,Oakland,oakland,1,-1,capitalization
98,value,exact 20000,typically much higher than 20000,1,1,substantial change in value
101,subject_type,Team,Team,1,-1,guard_fallback
101,subject_location,melbourne,melbourne,1,-1,guard_fallback
101,value,10680,unknown (but much higher),1,1,meaning-altering swap
103,subject_entity,ernie el,ernie els,1,-1,typo
104,subject_entity,mhc plastika,mhc plastika nitra,1,-1,abbreviation
106,subject_location,north carolina,charlotte,1,-1,trivial drift
109,subject_entity,blue jays,the game,1,1,wrong entity
109,subject_type,Team,Game,1,1,wrong claim domain
109,subject_location,toronto,not specified,1,1,wrong location
109,value,103,1,1,1,meaning-altering swap
110,subject_location,toronto,new york,1,1,wrong location
114,subject_location,dallas,dallas,1,-1,guard_fallback
114,value,20228,37,1,1,substantial numeric drift
116,subject_entity,blue jays,N/A,1,1,wrong entity
116,subject_location,toronto,N/A,1,1,wrong location
117,subject_entity,blue jays,not mentioned in claim text,1,1,wrong entity
117,subject_location,toronto,not mentioned in claim text,1,1,wrong location
120,subject_entity,detroit red wings,detroit red wing,1,1,wrong entity
120,subject_type,Team,League,1,1,wrong type
120,subject_location,new york,united states,1,1,wrong location
122,subject_entity,cleveland brown,unnamed opponent team,1,1,wrong entity
124,subject_type,Team,Athlete,1,1,wrong type
125,subject_location,tennessee,None,1,1,wrong location
128,subject_entity,manchester united f.c,None,1,1,wrong entity
128,subject_location,lincoln city,None,1,1,wrong location
131,subject_location,everton,liverpool,1,1,wrong location
132,subject_entity,fulham,swansea city,1,1,wrong entity
138,subject_entity,winnipeg jets,winnipeg,1,-1,trivial drift
140,subject_location,dallas,multiple locations,1,1,wrong location
141,subject_entity,pittsburgh steelers,three river stadium,1,1,wrong entity
141,subject_type,Team,Stadium,1,1,wrong type
141,subject_location,pennsylvania,pittsburgh,1,1,wrong location
143,subject_type,Athlete,Team,1,1,wrong type
143,subject_location,california,new york,1,1,wrong location
145,subject_location,australia,england,1,1,wrong location
147,subject_type,Team,County,1,1,wrong type
150,subject_entity,manchester united f.c,manchester city,1,1,wrong entity
150,subject_location,manchester,manchester,1,-1,guard_fallback
152,subject_location,washington,boston,1,1,wrong location
154,subject_location,minnesota,dallas cowboys,1,1,wrong location
154,value,210,161,1,-1,numeric drift
156,subject_entity,devin gardner,northwestern,1,1,wrong entity
156,subject_type,Athlete,Team,1,1,wrong type
156,subject_location,northwestern,michigan,1,1,wrong location
158,subject_type,Event,Event,1,-1,guard_fallback
159,subject_entity,raptors,None,1,1,wrong entity
159,subject_location,toronto,None,1,1,wrong location
162,subject_location,washington,detroit,1,1,wrong location
162,value,highest 6044,much higher than 6044,1,1,meaning-altering swap
163,subject_location,washington,pittsburgh,1,1,wrong location
163,value,lowest 37764,lower than 37764,1,1,meaning-altering swap
164,subject_type,Team,Athlete,1,1,wrong entity type
164,subject_location,new jersey,New Jersey,1,-1,capitalization
167,subject_type,Tournament,League,1,1,wrong entity type
167,subject_location,canada,united states,1,1,wrong location
167,value,157,3,1,1,substantial numeric drift
170,subject_entity,san francisco,Not specified in claim text,1,1,wrong entity
170,subject_location,san francisco,Not specified in claim text,1,1,wrong location
171,subject_entity,san francisco,Not specified in claim text,1,1,wrong entity
171,subject_location,san francisco,Not specified in claim text,1,1,wrong location
172,subject_entity,european athletics indoor championships,great britain,1,1,wrong entity
172,value,march 3rd,3:27.56,1,1,meaning-altering swap
174,subject_location,new york,green bay,1,1,wrong location
175,subject_location,clemson,san jose state,1,1,wrong location
176,subject_location,north texas,north texas state,1,-1,trivial drift
178,subject_entity,chargers,Not mentioned in claim text,1,1,wrong entity
178,subject_location,san diego,Not mentioned in claim text,1,1,wrong location
181,subject_entity,san francisco,Not mentioned in claim text,1,1,wrong entity
181,subject_location,san francisco,Not mentioned in claim text,1,1,wrong location
182,value,lowest 66042,43128,1,1,meaning-altering swap
183,subject_location,san francisco,san francisco,1,-1,unchanged
186,subject_location,memphis,seattle,1,1,wrong location
189,subject_location,detroit,cincinnati,1,1,wrong location
198,subject_entity,redskins,Not specified in claim text,1,1,wrong entity
198,subject_location,washington,Not specified in claim text,1,1,wrong location
200,subject_location,melbourne,melbourne,1,-1,guard_fallback
204,subject_location,toronto,Not specified in claim,1,1,wrong location
204,value,30542,Not a specific attendance value,1,1,wrong value
205,subject_entity,blue jays,Not specified in claim,1,1,wrong entity
205,subject_location,toronto,Not specified in claim,1,1,wrong location
206,subject_entity,oliver,Oliver Building,1,1,wrong entity
206,subject_type,Team,Building,1,1,wrong type
206,claim_domain,Sports,Business,1,1,wrong domain
208,value,<=159,N/A,1,-1,trivial drift
210,subject_type,Athlete,Coach,1,1,wrong entity type
211,subject_type,Athlete,Coach,1,1,wrong entity type
213,value,17000,"a lower value (e.g., 11,273)",1,1,substantial numeric drift
215,subject_entity,milwaukee brewers,brewers,1,-1,trivial entity name variation
215,value,12664,"a higher value (e.g., 30,000+)",1,1,substantial numeric drift
219,subject_entity,boston celtics,minnesota timberwolves,1,1,wrong entity
219,subject_location,boston,minneapolis,1,1,wrong location
224,subject_type,Team,Team,1,-1,guard_fallback
224,subject_location,mission road hong kong,guernsey,1,1,wrong location
225,subject_entity,guernsey cricket,guernsey,1,1,wrong entity
225,subject_type,Team,Venue,1,1,wrong type
225,subject_location,kowloon cricket club hong kong,kowloon,1,1,wrong location
227,subject_location,indiana,michigan,1,1,wrong location
230,subject_location,west virginia,michigan,1,1,wrong location
232,subject_entity,nhl,us high school player,1,1,wrong entity
