row_id,column,changed_value,original_value,mask,diagnosis,rule,details,mapping_status,mapping_score
0,friends_count,133831,3632,1,1,intent_attribution_info,"{""reason"": ""Large increase in friends_count, likely intentional"", ""source"": ""llm""}",matched,
0,description_length,9,6,1,-1,intent_attribution_info,"{""reason"": ""Small change in description_length, likely unintentional"", ""source"": ""llm""}",matched,
0,name_length,30,21,1,-1,intent_attribution_info,"{""reason"": ""Small change in name_length, likely unintentional"", ""source"": ""llm""}",matched,
2,description_length,187,157,1,-1,intent_attribution_info,"{""reason"": ""Small change in description_length, likely unintentional"", ""source"": ""llm""}",matched,
5,friends_count,130800,601,1,1,intent_attribution_info,"{""reason"": ""Large increase in friends_count, likely intentional"", ""source"": ""llm""}",matched,
5,description_length,51,63,1,-1,intent_attribution_info,"{""reason"": ""Small change in description_length, likely unintentional"", ""source"": ""llm""}",matched,
5,name_length,4,7,1,-1,intent_attribution_info,"{""reason"": ""Small change in name_length, likely unintentional"", ""source"": ""llm""}",matched,
7,description_length,60,63,1,-1,intent_attribution_info,"{""reason"": ""Small change, likely natural"", ""source"": ""llm""}",matched,
7,name_length,2,5,1,-1,intent_attribution_info,"{""reason"": ""Small change, likely natural"", ""source"": ""llm""}",matched,
8,friends_count,66225,1125,1,1,intent_attribution_info,"{""reason"": ""Large increase, likely intentional"", ""source"": ""llm""}",matched,
8,description_length,49,79,1,-1,intent_attribution_info,"{""reason"": ""Small change, likely natural"", ""source"": ""llm""}",matched,
8,name_length,1,6,1,-1,intent_attribution_info,"{""reason"": ""Small change, likely natural"", ""source"": ""llm""}",matched,
9,friends_count,66504,1404,1,1,intent_attribution_info,"{""reason"": ""Large increase, likely intentional"", ""source"": ""llm""}",matched,
9,description_length,10,1,1,1,intent_attribution_info,"{""reason"": ""Significant increase, likely intentional"", ""source"": ""llm""}",matched,
9,name_length,4,10,1,-1,intent_attribution_info,"{""reason"": ""Small change, likely natural"", ""source"": ""llm""}",matched,
17,description_length,184,154,1,-1,intent_attribution_info,"{""reason"": ""Natural growth in description length"", ""source"": ""llm""}",matched,
18,friends_count,65216,116,1,1,intent_attribution_info,"{""reason"": ""Large increase in friends_count for social appearance"", ""source"": ""llm""}",matched,
18,description_length,138,108,1,-1,intent_attribution_info,"{""reason"": ""Natural growth in description length"", ""source"": ""llm""}",matched,
18,name_length,4,13,1,1,intent_attribution_info,"{""reason"": ""Strategic shortening of name for evasion"", ""source"": ""llm""}",matched,
19,description_length,49,28,1,-1,intent_attribution_info,"{""reason"": ""Natural growth in description length"", ""source"": ""llm""}",matched,
19,name_length,31,21,1,-1,intent_attribution_info,"{""reason"": ""Natural growth in name length"", ""source"": ""llm""}",matched,
35,description_length,191,161,1,-1,intent_attribution_info,"{""reason"": ""Natural variation in description length"", ""source"": ""llm""}",matched,
43,name_length,6,17,1,-1,intent_attribution_info,"{""reason"": ""Natural change in name length"", ""source"": ""llm""}",matched,
47,description_length,196,151,1,1,intent_attribution_info,"{""reason"": ""Increased description length for authenticity"", ""source"": ""llm""}",matched,
48,friends_count,156891,26692,1,1,intent_attribution_info,"{""reason"": ""Large increase in friends_count for social appearance"", ""source"": ""llm""}",matched,
48,name_length,13,39,1,-1,intent_attribution_info,"{""reason"": ""Natural change in name length"", ""source"": ""llm""}",matched,
52,description_length,4,1,1,-1,intent_attribution_info,"{""reason"": ""Small change, likely natural"", ""source"": ""llm""}",matched,
52,name_length,4,12,1,-1,intent_attribution_info,"{""reason"": ""Small change, likely natural"", ""source"": ""llm""}",matched,
54,friends_count,130851,652,1,1,intent_attribution_info,"{""reason"": ""Large increase, likely intentional"", ""source"": ""llm""}",matched,
54,name_length,8,6,1,-1,intent_attribution_info,"{""reason"": ""Small change, likely natural"", ""source"": ""llm""}",matched,
55,friends_count,133727,3528,1,1,intent_attribution_info,"{""reason"": ""Large increase, likely intentional"", ""source"": ""llm""}",matched,
55,description_length,126,132,1,-1,intent_attribution_info,"{""reason"": ""Small change, likely natural"", ""source"": ""llm""}",matched,
55,name_length,5,10,1,-1,intent_attribution_info,"{""reason"": ""Small change, likely natural"", ""source"": ""llm""}",matched,
61,description_length,4,1,1,-1,intent_attribution_info,"{""reason"": ""Small change, likely natural update"", ""source"": ""llm""}",matched,
61,name_length,3,13,1,-1,intent_attribution_info,"{""reason"": ""Small change, likely natural update"", ""source"": ""llm""}",matched,
67,friends_count,143160,12961,1,1,intent_attribution_info,"{""reason"": ""Large increase in friends_count to appear more social"", ""source"": ""llm""}",matched,
67,description_length,46,94,1,-1,intent_attribution_info,"{""reason"": ""Natural variation in description length"", ""source"": ""llm""}",matched,
67,name_length,9,16,1,-1,intent_attribution_info,"{""reason"": ""Natural variation in name length"", ""source"": ""llm""}",matched,
69,description_length,182,149,1,-1,intent_attribution_info,"{""reason"": ""Natural variation in description length"", ""source"": ""llm""}",matched,
