row_id,column,dirty_value,correct_value,mask,decision,reason
0,subject_location,usa,england,1,1,Different place swapped
0,value,214,213,1,-1,Tiny numeric drift
5,subject_location,"austin , tx ,","baton rouge , la",1,1,Different place swapped
6,subject_entity,miami,washington,1,1,Different entity swapped
10,subject_entity,cleveland browns,cleveland browns,1,-1,guard_fallback
11,subject_location,melbourne,melbourne,1,-1,guard_fallback
11,value,104,96,1,1,significant numeric change
17,subject_entity,toronto maple leafs,toronto maple leafs,1,-1,guard_fallback
17,subject_location,washington,washington d.c.,1,-1,abbreviation
26,subject_location,dallas,dallas,1,-1,No meaningful change in location
30,subject_location,boston,atlanta,1,1,location swapped to different place
32,subject_location,finland,N/A,1,-1,trivial location change to N/A
35,subject_entity,minnesota golden gophers,minnesota golden gophers,1,-1,guard_fallback
35,subject_type,Team,Team,1,-1,guard_fallback
35,subject_location,minneapolis,minneapolis,1,-1,guard_fallback
38,subject_entity,los angeles rams,game,1,1,entity type changed to different category
38,value,least 80532,much lower than 80532,1,-1,minor rephrasing of value
40,subject_entity,boston celtics,Cleveland Cavaliers,1,1,Different team entity
40,subject_location,quicken loan arena,cleveland,1,1,Different place
44,value,5304,"much higher (e.g., 60,000+)",1,1,Significant numeric change
45,subject_location,chicago,not necessarily Chicago,1,-1,Trivial location adjustment
47,subject_location,florida,houston,1,1,Different place
48,subject_entity,david patrick,france,1,1,Different entity type
48,subject_type,Team,Venue,1,1,Different category
48,subject_location,bokskogens,sweden,1,1,Different place
50,subject_location,melbourne,melbourne,1,-1,"No change in value, likely typo"
52,subject_location,oklahoma,oklahoma,1,-1,"No change in value, likely typo"
55,subject_location,ottawa,canada,1,1,Changed to different place (canada → ottawa)
57,subject_entity,blue jays,N/A,1,1,Changed to different entity (N/A → blue jays)
57,subject_location,toronto,N/A,1,1,Changed to different place (N/A → toronto)
58,subject_type,Team,Athlete,1,1,Changed to different type (Team → Athlete)
58,subject_location,toronto,Not mentioned in claim text,1,1,Changed to different location (toronto → Not mentioned)
60,subject_location,australia,united states,1,1,different place
61,subject_entity,trenton speedway,trenton speedway,1,-1,guard_fallback
61,subject_type,Event,Track,1,1,different category
61,subject_location,new jersey,new jersey,1,-1,guard_fallback
62,subject_location,serbia,ukraine,1,1,different place
63,subject_entity,michael phelps,US swimmer,1,1,different entity
63,subject_type,Athlete,Country,1,1,different category
63,subject_location,usa,france,1,1,different place
65,subject_location,birmingham,liverpool,1,1,different place
70,subject_location,essendon victoria,melbourne,1,-1,minor location adjustment
70,value,109,109,1,-1,no change in value
71,value,100000,94000,1,1,significant numeric change
73,subject_type,Team,Team,1,-1,no type change
73,subject_location,toronto,new york,1,1,different place
74,subject_location,tennessee,oregon,1,1,different place
79,subject_location,cleveland,pittsburgh,1,1,different place
81,subject_entity,blue jays,None,1,1,entity changed to None
81,subject_location,toronto,None,1,1,location changed to None
84,value,65407,23600,1,1,large numeric change
86,subject_location,san francisco,los angeles,1,1,location changed to san francisco
86,value,920,42920,1,1,large numeric change
89,value,3,3,1,-1,no change in value
90,subject_entity,detroit pistons,detroit pistons,1,-1,guard_fallback
90,subject_location,atlanta,chicago,1,1,different place
93,subject_entity,new york titans,oakland,1,1,different entity
93,subject_location,Oakland,oakland,1,-1,case difference
98,value,exact 20000,typically much higher than 20000,1,1,different quantity
101,subject_type,Team,Team,1,-1,guard_fallback
101,subject_location,melbourne,melbourne,1,-1,guard_fallback
101,value,10680,unknown (but much higher),1,1,value altered significantly
103,subject_entity,ernie el,ernie els,1,-1,typo in name
104,subject_entity,mhc plastika,mhc plastika nitra,1,-1,minor name addition
106,subject_location,north carolina,charlotte,1,1,location changed
109,subject_entity,blue jays,the game,1,1,entity changed
109,subject_type,Team,Game,1,1,type changed
109,subject_location,toronto,not specified,1,1,location changed
109,value,103,1,1,1,value altered significantly
110,subject_location,toronto,new york,1,1,location changed to different place
114,subject_location,dallas,dallas,1,-1,guard_fallback
114,value,20228,37,1,1,value altered significantly
116,subject_entity,blue jays,N/A,1,1,entity changed to different team
116,subject_location,toronto,N/A,1,1,location changed to different place
117,subject_entity,blue jays,not mentioned in claim text,1,1,entity changed to different team
117,subject_location,toronto,not mentioned in claim text,1,1,location changed to different place
120,subject_entity,detroit red wings,detroit red wing,1,-1,typo (plural vs singular)
120,subject_type,Team,League,1,1,changed to different category
120,subject_location,new york,united states,1,1,different place
122,subject_entity,cleveland brown,unnamed opponent team,1,-1,typo (misspelling)
124,subject_type,Team,Athlete,1,1,changed to different category
125,subject_location,tennessee,None,1,-1,typo (added location)
128,subject_entity,manchester united f.c,None,1,1,changed to different entity
128,subject_location,lincoln city,None,1,1,changed to different place
131,subject_location,everton,liverpool,1,1,location swapped to different place
132,subject_entity,fulham,swansea city,1,1,entity swapped to different team
138,subject_entity,winnipeg jets,winnipeg,1,-1,near-duplicate alias
140,subject_location,dallas,multiple locations,1,1,changed to different place
141,subject_entity,pittsburgh steelers,three river stadium,1,1,swapped to different entity
141,subject_type,Team,Stadium,1,1,changed to different category
141,subject_location,pennsylvania,pittsburgh,1,1,changed to different place
143,subject_type,Athlete,Team,1,1,changed to different category
143,subject_location,california,new york,1,1,changed to different place
145,subject_location,australia,england,1,1,changed to different place
147,subject_type,Team,County,1,1,changed to different category
150,subject_entity,manchester united f.c,manchester city,1,1,Different team entity
150,subject_location,manchester,manchester,1,-1,No change in location
152,subject_location,washington,boston,1,1,Different city location
154,subject_location,minnesota,dallas cowboys,1,1,Changed to team name
154,value,210,161,1,1,Significant numeric change
156,subject_entity,devin gardner,northwestern,1,1,Different entity type
156,subject_type,Athlete,Team,1,1,Changed category
