feature,importance
stat_original_magnitude,0.150084112269455
stat_new_value_encoded,0.13906646080910862
stat_original_log,0.12266787487114664
stat_new_magnitude,0.10398159655162983
h5_codependent_flag,0.06040820441889917
stat_new_log,0.05406457734447065
stat_original_value_encoded,0.05343022481441671
h6_column_importance,0.04938335076015077
h4_coherence_score,0.04899635679376894
h5_error_count,0.04427781129042593
stat_change_magnitude,0.04341984056079006
stat_feature_name_encoded,0.03669002609006974
stat_relative_change,0.029537877574936415
h1_plausible,0.022196332450571166
h3_distribution_score,0.013231069876308123
row_signal_sum,0.009723122621900183
h7_comprehensibility,0.007361605873030921
n_applicable,0.005113355035133738
signal_C6,0.0021557060665647115
stat_change_direction,0.0015703517587939714
signal_C15,0.001337331820392282
cell_signal_ratio,0.0013028103480364783
signal_C20,0.0
signal_C19,0.0
signal_C16,0.0
signal_C14,0.0
signal_C13,0.0
signal_C12,0.0
signal_C8,0.0
signal_C11,0.0
signal_C10,0.0
signal_C9,0.0
signal_C5,0.0
signal_C7,0.0
signal_C3,0.0
signal_C4,0.0
signal_C2,0.0
signal_C1,0.0
signal_C18,0.0
signal_C17,0.0
signal_C24,0.0
signal_C23,0.0
signal_C25,0.0
cell_signal_sum,0.0
h2_min_edit_distance,0.0
h2_is_obfuscation,0.0
signal_C21,0.0
signal_C22,0.0
h8_is_sensitive,0.0
h8_is_majority_value,0.0
h7_mutability,0.0
h7_gain_direction,0.0
