row_id,column,changed_value,original_value,mask,diagnosis,rule,details,mapping_status,mapping_score
0,friends_count,133831,3632,1,1,intent_attribution,"{""reason"": ""The significant increase in friends count (from 3632 to 133831) is likely an intentional attempt to make the bot profile appear more popular and evade detection.""}",matched,
0,description_length,9,6,1,-1,intent_attribution,"{""reason"": ""The small increase in description length (from 6 to 9) is likely an unintentional change, as it does not significantly impact the profile's appearance or credibility.""}",matched,
0,name_length,30,21,1,1,intent_attribution,"{""reason"": ""The increase in name length (from 21 to 30) may be an intentional attempt to make the bot profile appear more legitimate and human-like.""}",matched,
2,description_length,187,157,1,-1,intent_attribution,"{""reason"": ""The small increase in description length (from 157 to 187) is likely an unintentional change, as it does not significantly impact the profile's appearance or credibility.""}",matched,
5,friends_count,130800,601,1,1,intent_attribution,"{""reason"": ""The significant increase in friends count (from 601 to 130800) is likely an intentional attempt to make the bot profile appear more popular and evade detection.""}",matched,
5,description_length,51,63,1,-1,intent_attribution,"{""reason"": ""The small decrease in description length (from 63 to 51) is likely an unintentional change, as it does not significantly impact the profile's appearance or credibility.""}",matched,
5,name_length,4,7,1,-1,intent_attribution,"{""reason"": ""The small decrease in name length (from 7 to 4) is likely an unintentional change, as it does not significantly impact the profile's appearance or credibility.""}",matched,
7,description_length,60,63,1,-1,intent_attribution,"{""reason"": ""Minor decrease in description length, likely unintentional editing.""}",matched,
7,name_length,2,5,1,1,intent_attribution,"{""reason"": ""Significant decrease in name length, possibly an attempt to appear more human-like.""}",matched,
8,friends_count,66225,1125,1,1,intent_attribution,"{""reason"": ""Dramatic increase in friends count, likely an attempt to appear more popular.""}",matched,
8,description_length,49,79,1,-1,intent_attribution,"{""reason"": ""Minor decrease in description length, likely unintentional editing.""}",matched,
8,name_length,1,6,1,1,intent_attribution,"{""reason"": ""Significant decrease in name length, possibly an attempt to appear more human-like.""}",matched,
9,friends_count,66504,1404,1,1,intent_attribution,"{""reason"": ""Dramatic increase in friends count, likely an attempt to appear more popular.""}",matched,
9,description_length,10,1,1,-1,intent_attribution,"{""reason"": ""Minor increase in description length, likely unintentional editing.""}",matched,
9,name_length,4,10,1,-1,intent_attribution,"{""reason"": ""Minor decrease in name length, likely unintentional editing.""}",matched,
17,description_length,184,154,1,1,intent_attribution,"{""reason"": ""The description length has increased by 30 characters, which is a significant change. This could be an intentional attempt to make the profile appear more human-like by adding more information to the description.""}",matched,
18,friends_count,65216,116,1,1,intent_attribution,"{""reason"": ""The friends count has increased by a large margin, which is unusual. This could be an intentional attempt to make the profile appear more popular or influential.""}",matched,
18,description_length,138,108,1,1,intent_attribution,"{""reason"": ""The description length has increased by 30 characters, which is a significant change. This could be an intentional attempt to make the profile appear more human-like by adding more information to the description.""}",matched,
18,name_length,4,13,1,-1,intent_attribution,"{""reason"": ""The name length has decreased by 9 characters, which could be an unintentional change or a normal variation in profile updates.""}",matched,
19,description_length,49,28,1,1,intent_attribution,"{""reason"": ""The description length has increased by 21 characters, which is a significant change. This could be an intentional attempt to make the profile appear more human-like by adding more information to the description.""}",matched,
19,name_length,31,21,1,-1,intent_attribution,"{""reason"": ""The name length has increased by 10 characters, which could be an unintentional change or a normal variation in profile updates.""}",matched,
35,description_length,191,161,1,1,intent_attribution,"{""reason"": ""The description length has increased by 30 characters, which is a significant change. This could be an intentional attempt to make the bot's profile appear more human-like by adding more content to the description.""}",matched,
43,name_length,6,17,1,-1,intent_attribution,"{""reason"": ""The reduction in name length from 17 to 6 could be due to a legitimate profile update, and the new length is still within a reasonable range for a human user.""}",matched,
47,description_length,196,151,1,-1,intent_attribution,"{""reason"": ""The increase in description length from 151 to 196 could be due to a legitimate update of the profile description, and the new length is still within a reasonable range for a human user.""}",matched,
48,friends_count,156891,26692,1,1,intent_attribution,"{""reason"": ""The significant increase in friends count from 26692 to 156891 is suspicious and may indicate an attempt to make the bot profile appear more popular or influential.""}",matched,
48,name_length,13,39,1,-1,intent_attribution,"{""reason"": ""The reduction in name length from 39 to 13 could be due to a legitimate profile update, and the new length is still within a reasonable range for a human user.""}",matched,
52,description_length,4,1,1,1,intent_attribution,"{""reason"": ""The description length has increased from 1 to 4, which may indicate an attempt to make the profile appear more legitimate by adding more information.""}",matched,
