row_id,column,changed_value,original_value,mask,diagnosis,rule,details,mapping_status,mapping_score
0,friends_count,133831,3632,1,1,intent_attribution,"{""reason"": ""A significant increase in friends_count from 3632 to 133831 suggests intentional manipulation to appear more social and legitimate, which is a common tactic in bot evasion.""}",matched,
0,description_length,9,6,1,1,intent_attribution,"{""reason"": ""A slight increase in description_length from 6 to 9 could indicate intentional modification to add more content, making the profile seem more active and human-like.""}",matched,
0,name_length,30,21,1,1,intent_attribution,"{""reason"": ""A notable increase in name_length from 21 to 30 suggests intentional alteration to use a longer, more detailed name, which can help in evading detection by appearing more personalized.""}",matched,
2,description_length,187,157,1,1,intent_attribution,"{""reason"": ""A moderate increase in description_length from 157 to 187 indicates intentional expansion of the description, possibly to include more keywords or details, enhancing the profile's legitimacy.""}",matched,
5,friends_count,130800,601,1,1,intent_attribution,"{""reason"": ""A massive increase in friends_count from 601 to 130800 strongly suggests intentional manipulation to inflate social connections, a common strategy in bot evasion.""}",matched,
5,description_length,51,63,1,1,intent_attribution,"{""reason"": ""A decrease in description_length from 63 to 51 might be intentional to simplify the description, possibly to avoid detection by reducing complexity or suspicious content.""}",matched,
5,name_length,4,7,1,1,intent_attribution,"{""reason"": ""A reduction in name_length from 7 to 4 could be intentional to use a shorter, more common name, which might help in evading detection by appearing less suspicious.""}",matched,
7,description_length,60,63,1,1,intent_attribution,"{""reason"": ""Decrease in description length could be intentional to make the profile seem less automated by shortening a potentially generic description.""}",matched,
7,name_length,2,5,1,1,intent_attribution,"{""reason"": ""Reduction in name length suggests an intentional attempt to make the name appear more natural or less suspicious.""}",matched,
8,friends_count,66225,1125,1,1,intent_attribution,"{""reason"": ""Significant increase in friends count is likely intentional to mimic a more active or followed user, potentially evading detection.""}",matched,
8,description_length,49,79,1,1,intent_attribution,"{""reason"": ""Substantial decrease in description length may indicate an attempt to remove bot-like patterns or overly generic content.""}",matched,
8,name_length,1,6,1,1,intent_attribution,"{""reason"": ""Drastic reduction in name length suggests an intentional effort to make the name appear more human-like or less automated.""}",matched,
9,friends_count,66504,1404,1,1,intent_attribution,"{""reason"": ""Massive increase in friends count is likely an intentional attempt to appear more legitimate and evade detection.""}",matched,
9,description_length,10,1,1,1,intent_attribution,"{""reason"": ""Increase in description length might be to add more content and appear more active, possibly to avoid detection.""}",matched,
9,name_length,4,10,1,1,intent_attribution,"{""reason"": ""Reduction in name length could be intentional to make the name appear more natural or less suspicious.""}",matched,
17,description_length,184,154,1,1,intent_attribution,"{""reason"": ""The description length increased by 30 characters, which is a significant change. This could be intentional to make the profile appear more active or engaging, potentially evading detection.""}",matched,
18,friends_count,65216,116,1,1,intent_attribution,"{""reason"": ""The friends_count increased dramatically from 116 to 65216, which is highly unusual and likely intentional to mimic a more active or followed account, possibly to evade detection.""}",matched,
18,description_length,138,108,1,1,intent_attribution,"{""reason"": ""The description length increased by 30 characters, which is a significant change. This could be intentional to make the profile appear more active or engaging, potentially evading detection.""}",matched,
18,name_length,4,13,1,1,intent_attribution,"{""reason"": ""The name_length decreased significantly from 13 to 4 characters. This could be intentional to create a shorter, more generic name, possibly to evade detection.""}",matched,
19,description_length,49,28,1,1,intent_attribution,"{""reason"": ""The description length increased by 21 characters, which is a significant change. This could be intentional to make the profile appear more active or engaging, potentially evading detection.""}",matched,
19,name_length,31,21,1,1,intent_attribution,"{""reason"": ""The name_length increased by 10 characters. This could be intentional to create a longer, more detailed name, possibly to evade detection.""}",matched,
35,description_length,191,161,1,1,intent_attribution,"{""reason"": ""The description length increased by 30 characters, which is a significant change. This could be intentional to make the profile appear more active or to include more keywords, potentially evading detection.""}",matched,
43,name_length,6,17,1,1,intent_attribution,"{""reason"": ""The name length was significantly reduced from 17 to 6 characters, which is a common tactic to make bot profiles appear less suspicious by using shorter, less descriptive names.""}",matched,
47,description_length,196,151,1,1,intent_attribution,"{""reason"": ""The description length increased by 45 characters, which could be an attempt to add more content to make the profile seem more legitimate.""}",matched,
48,friends_count,156891,26692,1,1,intent_attribution,"{""reason"": ""The friends count increased dramatically, which might be an attempt to mimic a more active or followed user profile, potentially to evade detection.""}",matched,
48,name_length,13,39,1,1,intent_attribution,"{""reason"": ""The name length was significantly reduced from 39 to 13 characters, which is a common tactic to make bot profiles appear less suspicious by using shorter, less descriptive names.""}",matched,
52,description_length,4,1,1,1,intent_attribution,"{""reason"": ""The description length increased from 1 to 4, which is a significant change. This could be intentional to make the profile appear more active or legitimate.""}",matched,
52,name_length,4,12,1,1,intent_attribution,"{""reason"": ""The name length decreased from 12 to 4, which is a notable change. This might be intentional to simplify the name or make it less suspicious.""}",matched,
54,friends_count,130851,652,1,1,intent_attribution,"{""reason"": ""The friends count increased dramatically from 652 to 130,851. This is likely intentional to mimic a more active or influential user profile.""}",matched,
54,name_length,8,6,1,1,intent_attribution,"{""reason"": ""The name length increased from 6 to 8, which could be intentional to make the name appear more natural or less bot-like.""}",matched,
55,friends_count,133727,3528,1,1,intent_attribution,"{""reason"": ""The friends count increased significantly from 3,528 to 133,727. This is likely an intentional change to make the profile seem more engaged or legitimate.""}",matched,
55,description_length,126,132,1,-1,intent_attribution,"{""reason"": ""The description length decreased slightly from 132 to 126. This minor change is likely unintentional and not indicative of bot evasion.""}",matched,
55,name_length,5,10,1,1,intent_attribution,"{""reason"": ""The name length decreased from 10 to 5, which is a significant change. This might be intentional to make the name less complex or more believable.""}",matched,
61,description_length,4,1,1,1,intent_attribution,"{""reason"": ""The description length increased from 1 to 4, which is a significant change. This could be intentional to make the profile appear more active or legitimate.""}",matched,
61,name_length,3,13,1,1,intent_attribution,"{""reason"": ""The name length decreased from 13 to 3, which is a substantial change. This might be intentional to create a shorter, more generic name that is harder to trace.""}",matched,
67,friends_count,143160,12961,1,1,intent_attribution,"{""reason"": ""A significant increase in friends_count from 12,961 to 143,160 suggests intentional manipulation to inflate network size, which is a common tactic in bot evasion.""}",matched,
67,description_length,46,94,1,1,intent_attribution,"{""reason"": ""A decrease in description_length from 94 to 46 could indicate intentional shortening to avoid detection mechanisms that flag longer descriptions as suspicious.""}",matched,
67,name_length,9,16,1,1,intent_attribution,"{""reason"": ""Reducing name_length from 16 to 9 might be an attempt to make the profile appear less automated by using a shorter, more human-like name.""}",matched,
69,description_length,182,149,1,-1,intent_attribution,"{""reason"": ""A slight increase in description_length from 149 to 182 is likely unintentional, as it doesn't follow a clear pattern of evasion and could be due to normal profile updates.""}",matched,
73,description_length,50,35,1,1,intent_attribution,"{""reason"": ""The description length increased from 35 to 50, which is a significant change. This could be intentional to make the profile appear more active or engaging, potentially evading detection.""}",matched,
73,name_length,4,16,1,1,intent_attribution,"{""reason"": ""The name length decreased from 16 to 4, which is a substantial reduction. This might be intentional to create a shorter, more generic name, possibly to avoid detection.""}",matched,
74,friends_count,65202,102,1,1,intent_attribution,"{""reason"": ""The friends count increased dramatically from 102 to 65202, which is highly unusual and likely intentional to make the bot appear more connected and legitimate.""}",matched,
