row_id,column,dirty_value,correct_value,mask,decision,reason
0,subject_location,usa,england,1,1,changed to incorrect country
0,value,214,213,1,-1,minor numeric drift
5,subject_location,"austin , tx ,","baton rouge , la",1,1,changed to incorrect city/state
6,subject_entity,miami,washington,1,1,changed to incorrect team
10,subject_entity,cleveland browns,cleveland browns,1,-1,llm_fallback
11,subject_location,melbourne,melbourne,1,-1,llm_fallback
11,value,104,96,1,-1,llm_fallback
17,subject_entity,toronto maple leafs,toronto maple leafs,1,-1,llm_fallback
17,subject_location,washington,washington d.c.,1,-1,llm_fallback
26,subject_location,dallas,dallas,1,-1,No substantial change in factual claim
30,subject_location,boston,atlanta,1,-1,Typo or correction to correct location
32,subject_location,finland,N/A,1,-1,Typo or correction to correct location
35,subject_entity,minnesota golden gophers,minnesota golden gophers,1,-1,guard_fallback
35,subject_type,Team,Team,1,-1,guard_fallback
35,subject_location,minneapolis,minneapolis,1,-1,guard_fallback
38,subject_entity,los angeles rams,game,1,1,Substantial change in subject entity
38,value,least 80532,much lower than 80532,1,1,Substantial change in value meaning
40,subject_entity,boston celtics,Cleveland Cavaliers,1,1,Wrong entity
40,subject_location,quicken loan arena,cleveland,1,1,Wrong location
44,value,5304,"much higher (e.g., 60,000+)",1,1,Substantial numerical change
45,subject_location,chicago,not necessarily Chicago,1,-1,Minor locational clarification
47,subject_location,florida,houston,1,-1,Corrected to accurate location
48,subject_entity,david patrick,france,1,1,Wrong entity
48,subject_type,Team,Venue,1,1,Wrong type
48,subject_location,bokskogens,sweden,1,1,Wrong location
50,subject_location,melbourne,melbourne,1,-1,"No change detected, possible error in mask"
52,subject_location,oklahoma,oklahoma,1,-1,"No change detected, possible error in mask"
55,subject_location,ottawa,canada,1,-1,Typo or minor location change within the same country
57,subject_entity,blue jays,N/A,1,1,Substantial change from N/A to a specific team name
57,subject_location,toronto,N/A,1,1,Substantial change from N/A to a specific city
58,subject_type,Team,Athlete,1,1,Change from Athlete to Team alters the factual claim
58,subject_location,toronto,Not mentioned in claim text,1,1,Change from 'Not mentioned' to a specific city alters the factual claim
60,subject_location,australia,united states,1,1,Substantial change in location from 'united states' to 'australia'
61,subject_entity,trenton speedway,trenton speedway,1,-1,guard_fallback
