row_id,column,changed_value,original_value,mask,diagnosis,rule,details,mapping_status,mapping_score
0,friends_count,133831,3632,1,1,intent_attribution,"{""reason"": ""Large increase in friends_count for follower manipulation""}",matched,
0,description_length,9,6,1,-1,intent_attribution,"{""reason"": ""Minor change in description_length, natural formatting""}",matched,
0,name_length,30,21,1,-1,intent_attribution,"{""reason"": ""Minor change in name_length, natural formatting""}",matched,
2,description_length,187,157,1,-1,intent_attribution,"{""reason"": ""Minor change in description_length, natural formatting""}",matched,
5,friends_count,130800,601,1,1,intent_attribution,"{""reason"": ""Huge increase in friends_count for follower manipulation""}",matched,
5,description_length,51,63,1,-1,intent_attribution,"{""reason"": ""Minor change in description_length, natural formatting""}",matched,
5,name_length,4,7,1,-1,intent_attribution,"{""reason"": ""Minor change in name_length, natural formatting""}",matched,
7,description_length,60,63,1,-1,intent_attribution,"{""reason"": ""Minor description length change""}",matched,
7,name_length,2,5,1,-1,intent_attribution,"{""reason"": ""Small name length change""}",matched,
8,friends_count,66225,1125,1,1,intent_attribution,"{""reason"": ""Large friends count increase""}",matched,
8,description_length,49,79,1,-1,intent_attribution,"{""reason"": ""Minor description length change""}",matched,
8,name_length,1,6,1,-1,intent_attribution,"{""reason"": ""Small name length change""}",matched,
9,friends_count,66504,1404,1,1,intent_attribution,"{""reason"": ""Huge friends count increase""}",matched,
9,description_length,10,1,1,1,intent_attribution,"{""reason"": ""Description length manipulation""}",matched,
9,name_length,4,10,1,1,intent_attribution,"{""reason"": ""Name length manipulation""}",matched,
17,description_length,184,154,1,-1,intent_attribution,"{""reason"": ""Small numeric drift""}",matched,
18,friends_count,65216,116,1,1,intent_attribution,"{""reason"": ""Follower manipulation""}",matched,
18,description_length,138,108,1,-1,intent_attribution,"{""reason"": ""Small numeric drift""}",matched,
18,name_length,4,13,1,-1,intent_attribution,"{""reason"": ""Formatting/encoding""}",matched,
19,description_length,49,28,1,-1,intent_attribution,"{""reason"": ""Small numeric drift""}",matched,
19,name_length,31,21,1,-1,intent_attribution,"{""reason"": ""Small numeric drift""}",matched,
35,description_length,191,161,1,-1,intent_attribution,"{""reason"": ""Small numeric drift""}",matched,
43,name_length,6,17,1,-1,intent_attribution,"{""reason"": ""Small numeric drift""}",matched,
47,description_length,196,151,1,-1,intent_attribution,"{""reason"": ""Natural growth""}",matched,
48,friends_count,156891,26692,1,1,intent_attribution,"{""reason"": ""Follower manipulation""}",matched,
48,name_length,13,39,1,1,intent_attribution,"{""reason"": ""Profile completeness""}",matched,
52,description_length,4,1,1,1,intent_attribution,"{""reason"": ""Likely intentional, longer description for profile completeness.""}",matched,
