row_id,column,dirty_value,correct_value,mask,decision,reason
0,subject_location,usa,england,1,1,Location changed from one country to another.
0,value,214,213,1,-1,Trivial numeric drift of 1.
5,subject_location,"austin , tx ,","baton rouge , la",1,1,Location changed to a completely different city and state.
6,subject_entity,miami,washington,1,1,Subject entity swapped to a different team.
10,subject_entity,cleveland browns,cleveland browns,1,-1,No semantic change; likely a trivial formatting or whitespace difference.
11,subject_location,melbourne,melbourne,1,-1,No semantic change; likely a trivial formatting or whitespace difference.
11,value,104,96,1,1,"Numeric value changed significantly from 104 to 96, altering the fact."
17,subject_entity,toronto maple leafs,toronto maple leafs,1,-1,No semantic change; likely a trivial formatting or whitespace difference.
17,subject_location,washington,washington d.c.,1,-1,"Abbreviation expanded to full name, preserving the location's meaning."
26,subject_location,dallas,dallas,1,-1,Values are identical; this is a trivial data artifact.
30,subject_location,boston,atlanta,1,1,Location was swapped to a completely different city.
32,subject_location,finland,N/A,1,1,A specific location was removed and replaced with N/A.
35,subject_entity,minnesota golden gophers,minnesota golden gophers,1,-1,No actual change was made to the cell value.
35,subject_type,Team,Team,1,-1,No actual change was made to the cell value.
35,subject_location,minneapolis,minneapolis,1,-1,No actual change was made to the cell value.
38,subject_entity,los angeles rams,game,1,1,Subject entity changed from a specific team to a general event.
38,value,least 80532,much lower than 80532,1,1,"The comparator was flipped, reversing the claim's meaning."
40,subject_entity,boston celtics,Cleveland Cavaliers,1,1,Entity swapped from one team to a different team.
40,subject_location,quicken loan arena,cleveland,1,1,Location changed from a specific arena to a city.
44,value,5304,"much higher (e.g., 60,000+)",1,1,Value changed from a small number to a much larger one.
45,subject_location,chicago,not necessarily Chicago,1,1,Location changed from a specific city to a negation.
47,subject_location,florida,houston,1,1,Location swapped from a state to a different city.
48,subject_entity,david patrick,france,1,1,Entity swapped from a person to a country.
48,subject_type,Team,Venue,1,1,Type changed from 'Team' to a different category 'Venue'.
48,subject_location,bokskogens,sweden,1,1,Location changed from a specific venue to a country.
50,subject_location,melbourne,melbourne,1,-1,Identical values suggest a trivial formatting or processing error.
52,subject_location,oklahoma,oklahoma,1,-1,Identical values suggest a trivial formatting or processing error.
55,subject_location,ottawa,canada,1,1,"Location changed from a city (Ottawa) to a country (Canada), altering the fact."
57,subject_entity,blue jays,N/A,1,1,Subject entity was completely removed ('blue jays' → 'N/A').
57,subject_location,toronto,N/A,1,1,Location was completely removed ('toronto' → 'N/A').
58,subject_type,Team,Athlete,1,1,Subject type changed to a semantically different category ('Team' → 'Athlete').
58,subject_location,toronto,Not mentioned in claim text,1,1,"Location was removed, a significant factual alteration."
60,subject_location,australia,united states,1,1,Location swapped to a different country.
61,subject_entity,trenton speedway,trenton speedway,1,-1,guard_fallback
61,subject_type,Event,Track,1,1,Subject type changed to a semantically different category.
61,subject_location,new jersey,new jersey,1,-1,guard_fallback
62,subject_location,serbia,ukraine,1,1,Location swapped to a different country.
63,subject_entity,michael phelps,US swimmer,1,1,"Specific entity changed to a generic, different entity."
63,subject_type,Athlete,Country,1,1,Subject type changed to a semantically different category.
63,subject_location,usa,france,1,1,Location swapped to a different country.
65,subject_location,birmingham,liverpool,1,1,Location swapped to a different city.
70,subject_location,essendon victoria,melbourne,1,-1,"Location is a suburb of the correct city, a near-duplicate alias."
70,value,109,109,1,-1,No actual change in value was made.
71,value,100000,94000,1,1,"Value changed by a large amount (6000), altering the fact."
73,subject_type,Team,Team,1,-1,No actual change in type was made.
73,subject_location,toronto,new york,1,1,Location was swapped to a completely different city.
74,subject_location,tennessee,oregon,1,1,Location was swapped to a completely different state.
79,subject_location,cleveland,pittsburgh,1,1,Location was swapped to a completely different city.
81,subject_entity,blue jays,None,1,1,"Subject entity was removed, not a typo or alias."
81,subject_location,toronto,None,1,1,"Location was removed, not a typo or alias."
84,value,65407,23600,1,1,Large numeric change significantly alters the value.
86,subject_location,san francisco,los angeles,1,1,Location swapped to a different city.
86,value,920,42920,1,1,Large numeric change significantly alters the value.
89,value,3,3,1,-1,No actual change was made to the value.
90,subject_entity,detroit pistons,detroit pistons,1,-1,guard_fallback
90,subject_location,atlanta,chicago,1,1,Location swapped from one distinct city to another.
93,subject_entity,new york titans,oakland,1,1,Subject entity swapped to a completely different entity.
93,subject_location,Oakland,oakland,1,-1,Trivial case change only.
