row_id,column,changed_value,original_value,mask,diagnosis,rule,details,mapping_status,mapping_score
0,friends_count,133831,3632,1,1,intent_attribution,"{""reason"": ""An unusually high increase in the number of friends can be an intentional bot evasion tactic to appear more like a popular human-run account.""}",matched,
0,description_length,9,6,1,-1,intent_attribution,"{""reason"": ""A minor change in the description length is likely a normal variation or accidental.""}",matched,
0,name_length,30,21,1,-1,intent_attribution,"{""reason"": ""A minor change in the name length is likely a normal variation or accidental.""}",matched,
2,description_length,187,157,1,-1,intent_attribution,"{""reason"": ""A moderate increase in the description length is likely a normal variation or accidental.""}",matched,
5,friends_count,130800,601,1,1,intent_attribution,"{""reason"": ""An unusually high increase in the number of friends can be an intentional bot evasion tactic to appear more like a popular human-run account.""}",matched,
5,description_length,51,63,1,-1,intent_attribution,"{""reason"": ""A minor change in the description length is likely a normal variation or accidental.""}",matched,
5,name_length,4,7,1,-1,intent_attribution,"{""reason"": ""A minor change in the name length is likely a normal variation or accidental.""}",matched,
7,description_length,60,63,1,-1,intent_attribution,"{""reason"": ""The difference in description length is only 3 characters, which could be due to normal profile editing or truncation. It's not significant enough to indicate intentional bot evasion.""}",matched,
7,name_length,2,5,1,-1,intent_attribution,"{""reason"": ""The difference in name length is only 3 characters, which could be due to normal profile editing or abbreviations. It's not significant enough to indicate intentional bot evasion.""}",matched,
8,friends_count,66225,1125,1,1,intent_attribution,"{""reason"": ""An increase in friends count by over 60,000 is unusual and could indicate intentional bot evasion to make the account appear more popular or connected.""}",matched,
8,description_length,49,79,1,1,intent_attribution,"{""reason"": ""A significant decrease in description length could indicate intentional bot evasion to make the account appear more human-like or to avoid detection based on specific keywords.""}",matched,
8,name_length,1,6,1,1,intent_attribution,"{""reason"": ""A significant decrease in name length could indicate intentional bot evasion to make the account appear more human-like or to avoid detection based on specific keywords.""}",matched,
9,friends_count,66504,1404,1,1,intent_attribution,"{""reason"": ""An increase in friends count by over 65,000 is unusual and could indicate intentional bot evasion to make the account appear more popular or connected.""}",matched,
9,description_length,10,1,1,1,intent_attribution,"{""reason"": ""A significant increase in description length could indicate intentional bot evasion to make the account appear more human-like or to avoid detection based on specific keywords.""}",matched,
9,name_length,4,10,1,1,intent_attribution,"{""reason"": ""A significant decrease in name length could indicate intentional bot evasion to make the account appear more human-like or to avoid detection based on specific keywords.""}",matched,
17,description_length,184,154,1,1,intent_attribution,"{""reason"": ""Increasing the description length can make the bot profile appear more human-like, as real users often have longer descriptions. This is an intentional bot evasion technique.""}",matched,
