row_id,column,dirty_value,correct_value,mask,decision,reason
0,subject_location,usa,england,1,1,"Changed the subject's country from England to USA, a significant factual alteration."
0,value,214,213,1,-1,"Minor numeric drift of +1, likely a typo."
5,subject_location,"austin , tx ,","baton rouge , la",1,1,Changed the team's location to a completely different city and state.
6,subject_entity,miami,washington,1,1,Swapped the subject entity from one team (Washington) to a different one (Miami).
10,subject_entity,cleveland browns,cleveland browns,1,-1,"The correct and dirty values are identical, indicating a data processing error rather than a factual change."
11,subject_location,melbourne,melbourne,1,-1,"The correct and dirty values are identical, indicating a data processing error rather than a factual change."
11,value,104,96,1,1,"The numeric value changed from 96 to 104, a significant alteration of the statistic beyond a minor drift."
17,subject_entity,toronto maple leafs,toronto maple leafs,1,-1,"The correct and dirty values are identical, indicating a data processing error rather than a factual change."
17,subject_location,washington,washington d.c.,1,-1,"The value 'washington' is a common and acceptable abbreviation for 'washington d.c.', preserving the factual claim."
26,subject_location,dallas,dallas,1,-1,The correct and dirty values are identical.
30,subject_location,boston,atlanta,1,1,"Swapped one major city for another, altering the factual context."
32,subject_location,finland,N/A,1,1,Added a specific location where the correct value was N/A.
35,subject_entity,minnesota golden gophers,minnesota golden gophers,1,-1,No change in value.
35,subject_type,Team,Team,1,-1,No change in value.
35,subject_location,minneapolis,minneapolis,1,-1,No change in value.
38,subject_entity,los angeles rams,game,1,1,Replaced a generic subject ('game') with a specific team.
38,value,least 80532,much lower than 80532,1,1,Inverted the claim's meaning from 'much lower than' to 'least'.
40,subject_entity,boston celtics,Cleveland Cavaliers,1,1,Swapped one team for a completely different one.
40,subject_location,quicken loan arena,cleveland,1,-1,"Changed the city to a specific arena within that city, which is a specificity error, not a factual swap."
44,value,5304,"much higher (e.g., 60,000+)",1,1,"The value is drastically different from the correct one by an order of magnitude, substantially changing the claim."
45,subject_location,chicago,not necessarily Chicago,1,1,"Asserted a specific location ('chicago') where the ground truth states it was not necessarily there, altering the claim's certainty."
47,subject_location,florida,houston,1,1,"Swapped the correct event location ('houston') with the team's home state ('florida'), which is a different location."
48,subject_entity,david patrick,france,1,1,"Swapped a country ('france') for a person's name ('david patrick'), a completely different entity."
48,subject_type,Team,Venue,1,1,"Changed the entity type from 'Venue' to 'Team', which alters the fundamental nature of the claim."
