variant,column,n_errors,correct,wrong_unintentional,missed,accuracy,intentional_precision,intentional_recall,intentional_f1
bareminimum-gemini,subject_entity,192,123.0,69.0,0.0,0.6406,1.0,0.6406,0.781
bareminimum-gemini,subject_type,115,82.0,33.0,0.0,0.713,1.0,0.713,0.8325
bareminimum-gemini,subject_location,241,177.0,64.0,0.0,0.7344,1.0,0.7344,0.8469
bareminimum-gemini,value,163,124.0,39.0,0.0,0.7607,1.0,0.7607,0.8641
bareminimum-gemini,claim_domain,12,8.0,4.0,0.0,0.6667,1.0,0.6667,0.8
bareminimum-gemini,metric,0,,,,,,,
info-gemini,subject_entity,192,129.0,63.0,0.0,0.6719,1.0,0.6719,0.8037
info-gemini,subject_type,115,95.0,20.0,0.0,0.8261,1.0,0.8261,0.9048
info-gemini,subject_location,241,199.0,42.0,0.0,0.8257,1.0,0.8257,0.9045
info-gemini,value,163,144.0,19.0,0.0,0.8834,1.0,0.8834,0.9381
info-gemini,claim_domain,12,10.0,2.0,0.0,0.8333,1.0,0.8333,0.9091
info-gemini,metric,0,,,,,,,
few-shots-gemini,subject_entity,192,122.0,70.0,0.0,0.6354,1.0,0.6354,0.7771
few-shots-gemini,subject_type,115,95.0,20.0,0.0,0.8261,1.0,0.8261,0.9048
few-shots-gemini,subject_location,241,195.0,46.0,0.0,0.8091,1.0,0.8091,0.8945
few-shots-gemini,value,163,142.0,21.0,0.0,0.8712,1.0,0.8712,0.9311
few-shots-gemini,claim_domain,12,10.0,2.0,0.0,0.8333,1.0,0.8333,0.9091
few-shots-gemini,metric,0,,,,,,,
baremin-mixtral,subject_entity,192,145.0,47.0,0.0,0.7552,1.0,0.7552,0.8605
baremin-mixtral,subject_type,115,94.0,21.0,0.0,0.8174,1.0,0.8174,0.8995
baremin-mixtral,subject_location,241,169.0,72.0,0.0,0.7012,1.0,0.7012,0.8244
baremin-mixtral,value,163,91.0,72.0,0.0,0.5583,1.0,0.5583,0.7165
baremin-mixtral,claim_domain,12,10.0,2.0,0.0,0.8333,1.0,0.8333,0.9091
baremin-mixtral,metric,0,,,,,,,
info-mixtral,subject_entity,192,160.0,32.0,0.0,0.8333,1.0,0.8333,0.9091
info-mixtral,subject_type,115,94.0,21.0,0.0,0.8174,1.0,0.8174,0.8995
info-mixtral,subject_location,241,166.0,75.0,0.0,0.6888,1.0,0.6888,0.8157
info-mixtral,value,163,109.0,54.0,0.0,0.6687,1.0,0.6687,0.8015
info-mixtral,claim_domain,12,10.0,2.0,0.0,0.8333,1.0,0.8333,0.9091
info-mixtral,metric,0,,,,,,,
few-shots-mixtral,subject_entity,192,145.0,47.0,0.0,0.7552,1.0,0.7552,0.8605
few-shots-mixtral,subject_type,115,93.0,22.0,0.0,0.8087,1.0,0.8087,0.8942
few-shots-mixtral,subject_location,241,141.0,100.0,0.0,0.5851,1.0,0.5851,0.7382
few-shots-mixtral,value,163,110.0,53.0,0.0,0.6748,1.0,0.6748,0.8059
few-shots-mixtral,claim_domain,12,9.0,3.0,0.0,0.75,1.0,0.75,0.8571
few-shots-mixtral,metric,0,,,,,,,
baremin-llama,subject_entity,192,143.0,49.0,0.0,0.7448,1.0,0.7448,0.8537
baremin-llama,subject_type,115,99.0,16.0,0.0,0.8609,1.0,0.8609,0.9252
baremin-llama,subject_location,241,189.0,52.0,0.0,0.7842,1.0,0.7842,0.8791
baremin-llama,value,163,84.0,79.0,0.0,0.5153,1.0,0.5153,0.6802
baremin-llama,claim_domain,12,10.0,2.0,0.0,0.8333,1.0,0.8333,0.9091
baremin-llama,metric,0,,,,,,,
info-llama,subject_entity,192,137.0,55.0,0.0,0.7135,1.0,0.7135,0.8328
info-llama,subject_type,115,100.0,15.0,0.0,0.8696,1.0,0.8696,0.9302
info-llama,subject_location,241,188.0,53.0,0.0,0.7801,1.0,0.7801,0.8765
info-llama,value,163,126.0,37.0,0.0,0.773,1.0,0.773,0.872
info-llama,claim_domain,12,10.0,2.0,0.0,0.8333,1.0,0.8333,0.9091
info-llama,metric,0,,,,,,,
few-shots-llama,subject_entity,192,123.0,69.0,0.0,0.6406,1.0,0.6406,0.781
few-shots-llama,subject_type,115,100.0,15.0,0.0,0.8696,1.0,0.8696,0.9302
few-shots-llama,subject_location,241,193.0,48.0,0.0,0.8008,1.0,0.8008,0.8894
few-shots-llama,value,163,120.0,43.0,0.0,0.7362,1.0,0.7362,0.8481
few-shots-llama,claim_domain,12,10.0,2.0,0.0,0.8333,1.0,0.8333,0.9091
few-shots-llama,metric,0,,,,,,,
baremin-qwen,subject_entity,192,151.0,41.0,0.0,0.7865,1.0,0.7865,0.8805
baremin-qwen,subject_type,115,101.0,14.0,0.0,0.8783,1.0,0.8783,0.9352
baremin-qwen,subject_location,241,196.0,45.0,0.0,0.8133,1.0,0.8133,0.897
baremin-qwen,value,163,111.0,52.0,0.0,0.681,1.0,0.681,0.8102
baremin-qwen,claim_domain,12,10.0,2.0,0.0,0.8333,1.0,0.8333,0.9091
baremin-qwen,metric,0,,,,,,,
info-qwen,subject_entity,192,131.0,61.0,0.0,0.6823,1.0,0.6823,0.8111
info-qwen,subject_type,115,98.0,17.0,0.0,0.8522,1.0,0.8522,0.9202
info-qwen,subject_location,241,190.0,51.0,0.0,0.7884,1.0,0.7884,0.8817
info-qwen,value,163,128.0,35.0,0.0,0.7853,1.0,0.7853,0.8797
info-qwen,claim_domain,12,10.0,2.0,0.0,0.8333,1.0,0.8333,0.9091
info-qwen,metric,0,,,,,,,
