row_id,column,changed_value,original_value,mask,diagnosis,rule,details,mapping_status,mapping_score
0,friends_count,133831,3632,1,1,intent_attribution,"{""reason"": ""A significant increase in friends_count from 3632 to 133831 is likely intentional to make the bot profile appear more active and human-like.""}",matched,
0,description_length,9,6,1,-1,intent_attribution,"{""reason"": ""A small increase in description_length from 6 to 9 is likely unintentional and could be due to normal profile variations.""}",matched,
0,name_length,30,21,1,1,intent_attribution,"{""reason"": ""An increase in name_length from 21 to 30 is likely intentional to make the bot profile appear more human-like by using a longer, more detailed name.""}",matched,
2,description_length,187,157,1,1,intent_attribution,"{""reason"": ""An increase in description_length from 157 to 187 is likely intentional to make the bot profile appear more human-like by adding more details to the description.""}",matched,
5,friends_count,130800,601,1,1,intent_attribution,"{""reason"": ""A significant increase in friends_count from 601 to 130800 is likely intentional to make the bot profile appear more active and human-like.""}",matched,
5,description_length,51,63,1,-1,intent_attribution,"{""reason"": ""A decrease in description_length from 63 to 51 is likely unintentional and could be due to normal profile variations.""}",matched,
5,name_length,4,7,1,-1,intent_attribution,"{""reason"": ""A decrease in name_length from 7 to 4 is likely unintentional and could be due to normal profile variations.""}",matched,
7,description_length,60,63,1,-1,intent_attribution,"{""reason"": ""A small change in description length (3 characters) is likely unintentional and could be due to normal profile maintenance.""}",matched,
7,name_length,2,5,1,1,intent_attribution,"{""reason"": ""A significant reduction in name length from 5 to 2 characters suggests an intentional attempt to make the profile appear less suspicious.""}",matched,
8,friends_count,66225,1125,1,1,intent_attribution,"{""reason"": ""A dramatic increase in friends count is likely intentional to make the bot appear more active and legitimate.""}",matched,
8,description_length,49,79,1,1,intent_attribution,"{""reason"": ""A significant reduction in description length suggests an intentional attempt to make the profile appear less suspicious.""}",matched,
8,name_length,1,6,1,1,intent_attribution,"{""reason"": ""A significant reduction in name length from 6 to 1 character suggests an intentional attempt to make the profile appear less suspicious.""}",matched,
9,friends_count,66504,1404,1,1,intent_attribution,"{""reason"": ""A dramatic increase in friends count is likely intentional to make the bot appear more active and legitimate.""}",matched,
9,description_length,10,1,1,1,intent_attribution,"{""reason"": ""An increase in description length from 1 to 10 characters suggests an intentional attempt to add more detail and make the profile appear more human-like.""}",matched,
9,name_length,4,10,1,1,intent_attribution,"{""reason"": ""A significant reduction in name length from 10 to 4 characters suggests an intentional attempt to make the profile appear less suspicious.""}",matched,
17,description_length,184,154,1,1,intent_attribution,"{""reason"": ""Increasing the description length can make a bot profile appear more human-like by adding more content.""}",matched,
